"","species_names","kingdom","phylum","class","order","family","genus","species","originalSpeciesName","atpB.fasta","matK.fasta","ndhF.fasta","rbcL.fasta","trnL.fasta"
"1","Acer_negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer negundo","Acer_negundo",0,1,1,1,1
"2","Acer_rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer_rubrum",0,1,0,1,0
"3","Achillea_millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","Achillea millefolium","Achillea_millefolium",1,1,0,1,1
"4","Agastache_foeniculum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache","Agastache foeniculum","Agastache_foeniculum",0,0,0,1,1
"5","Agrostis_scabra","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis scabra","Agrostis_scabra",0,1,0,1,0
"6","Allium_cernuum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium cernuum","Allium_cernuum",0,1,0,1,1
"7","Allium_stellatum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Allium stellatum","Allium_stellatum",0,1,0,1,1
"8","Alnus_incana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","Alnus incana","Alnus_incana",0,1,0,1,0
"9","Amaranthus_retroflexus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Amaranthus retroflexus","Amaranthus_retroflexus",0,1,1,1,1
"10","Ambrosia_artemisiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia artemisiifolia","Ambrosia_artemisiifolia",0,1,0,1,1
"11","Ambrosia_psilostachya","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Ambrosia psilostachya","Ambrosia_psilostachya",0,1,0,1,1
"12","Amelanchier_alnifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier alnifolia","Amelanchier_alnifolia",0,1,0,1,1
"13","Amelanchier_arborea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier arborea","Amelanchier_arborea",0,0,1,0,0
"14","Amelanchier_laevis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier laevis","Amelanchier_laevis",0,1,0,1,0
"15","Amelanchier_sanguinea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Amelanchier sanguinea","Amelanchier_sanguinea",0,1,0,1,0
"16","Amorpha_canescens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","Amorpha canescens","Amorpha_canescens",0,1,0,0,1
"17","Amphicarpaea_bracteata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Amphicarpaea","Amphicarpaea bracteata","Amphicarpaea_bracteata",1,1,0,1,0
"18","Andropogon_gerardi","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Andropogon","Andropogon gerardi","Andropogon_gerardii",0,0,1,1,0
"19","Andropogon_gerardi","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Andropogon","Andropogon gerardi","Andropogon_gerardi",0,0,1,1,0
"20","Anemone_cylindrica","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone cylindrica","Anemone_cylindrica",0,1,0,1,0
"21","Anemone_quinquefolia","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone quinquefolia","Anemone_quinquefolia",0,1,0,1,0
"22","Anemone_virginiana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone virginiana","Anemone_virginiana",0,1,0,1,0
"23","Antennaria_neglecta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria neglecta","Antennaria_neglecta",0,1,0,1,0
"24","Antennaria_parlinii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria parlinii","Antennaria_parlinii",0,1,0,1,0
"25","Antennaria_plantaginifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia","Antennaria_plantaginifolia",0,1,0,1,0
"26","Anthoxanthum_nitens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum nitens","Hierochloe_odorata",0,1,0,1,1
"27","Anthoxanthum_nitens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum nitens","Anthoxanthum_nitens",0,1,0,1,1
"28","Apocynum_androsaemifolium","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Apocynum","Apocynum androsaemifolium","Apocynum_androsaemifolium",0,1,0,1,1
"29","Apocynum_cannabinum","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum","Apocynum_cannabinum",1,1,1,1,1
"30","Aquilegia_canadensis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Aquilegia_canadensis",0,1,0,1,0
"31","Arabis_hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabis","Arabis hirsuta","Arabis_hirsuta",0,1,1,1,1
"32","Aralia_nudicaulis","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Aralia","Aralia nudicaulis","Aralia_nudicaulis",0,1,0,1,1
"33","Aristida_basiramea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aristida","Aristida basiramea","Aristida_basiramea",0,0,0,1,0
"34","Aristida_tuberculosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aristida","Aristida tuberculosa","Aristida_tuberculosa",0,0,0,1,0
"35","Aronia_melanocarpa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Aronia","Aronia melanocarpa","Aronia_melanocarpa",0,0,1,1,1
