"","Species","NonGaps","removedPerGaps","removedMasking"
"Ginkgo_biloba","Ginkgo_biloba",785,FALSE,FALSE
"Acer_negundo","Acer_negundo",592,FALSE,FALSE
"Acer_rubrum","Acer_rubrum",624,FALSE,FALSE
"Achillea_millefolium","Achillea_millefolium",684,FALSE,FALSE
"Elymus_repens","Elymus_repens",675,FALSE,FALSE
"Andropogon_gerardi","Andropogon_gerardi",691,FALSE,FALSE
"Poa_nemoralis","Poa_nemoralis",692,FALSE,FALSE
"Agrostis_scabra","Agrostis_scabra",565,FALSE,FALSE
"Allium_cernuum","Allium_cernuum",705,FALSE,FALSE
"Allium_stellatum","Allium_stellatum",665,FALSE,FALSE
"Alnus_incana","Alnus_incana",679,FALSE,FALSE
"Amaranthus_retroflexus","Amaranthus_retroflexus",682,FALSE,FALSE
"Ambrosia_artemisiifolia","Ambrosia_artemisiifolia",650,FALSE,FALSE
"Ambrosia_psilostachya","Ambrosia_psilostachya",656,FALSE,FALSE
"Amelanchier_alnifolia","Amelanchier_alnifolia",679,FALSE,FALSE
"Amelanchier_laevis","Amelanchier_laevis",683,FALSE,FALSE
"Amelanchier_sanguinea","Amelanchier_sanguinea",676,FALSE,FALSE
"Amorpha_canescens","Amorpha_canescens",701,FALSE,FALSE
"Amphicarpaea_bracteata","Amphicarpaea_bracteata",684,FALSE,FALSE
"Anemone_cylindrica","Anemone_cylindrica",678,FALSE,FALSE
"Anemone_quinquefolia","Anemone_quinquefolia",694,FALSE,FALSE
"Anemone_virginiana","Anemone_virginiana",568,FALSE,FALSE
"Antennaria_parlinii","Antennaria_parlinii",663,FALSE,FALSE
"Antennaria_neglecta","Antennaria_neglecta",694,FALSE,FALSE
"Antennaria_plantaginifolia","Antennaria_plantaginifolia",643,FALSE,FALSE
"Apocynum_androsaemifolium","Apocynum_androsaemifolium",715,FALSE,FALSE
"Apocynum_cannabinum","Apocynum_cannabinum",715,FALSE,FALSE
"Aquilegia_canadensis","Aquilegia_canadensis",681,FALSE,FALSE
"Turritis_glabra","Turritis_glabra",674,FALSE,FALSE
"Arabis_hirsuta","Arabis_hirsuta",678,FALSE,FALSE
"Aralia_nudicaulis","Aralia_nudicaulis",680,FALSE,FALSE
"Artemisia_ludoviciana","Artemisia_ludoviciana",633,FALSE,FALSE
"Asclepias_exaltata","Asclepias_exaltata",641,FALSE,FALSE
