"","Species","NonGaps","removedPerGaps","removedMasking"
"Acer_negundo","Acer_negundo",1693,FALSE,FALSE
"Amaranthus_retroflexus","Amaranthus_retroflexus",1523,FALSE,FALSE
"Amelanchier_arborea","Amelanchier_arborea",1528,FALSE,FALSE
"Cenchrus_americanus","Cenchrus_americanus",1666,FALSE,FALSE
"Apocynum_cannabinum","Apocynum_cannabinum",1640,FALSE,FALSE
"Turritis_glabra","Turritis_glabra",1607,FALSE,FALSE
"Arabis_hirsuta","Arabis_hirsuta",1607,FALSE,FALSE
"Aronia_melanocarpa","Aronia_melanocarpa",1528,FALSE,FALSE
"Asclepias_verticillata","Asclepias_verticillata",1718,FALSE,FALSE
"Berteroa_incana","Berteroa_incana",1607,FALSE,FALSE
"Bromus_inermis","Bromus_inermis",1647,FALSE,FALSE
"Bromus_tectorum","Bromus_tectorum",1663,FALSE,FALSE
"Pilosella_aurantiaca","Pilosella_aurantiaca",1663,FALSE,FALSE
"Caltha_palustris","Caltha_palustris",1692,FALSE,FALSE
"Campanula_rotundifolia","Campanula_rotundifolia",1717,FALSE,FALSE
"Carex_vulpinoidea","Carex_vulpinoidea",852,FALSE,FALSE
"Ceanothus_americanus","Ceanothus_americanus",1509,FALSE,FALSE
"Comandra_umbellata","Comandra_umbellata",1707,FALSE,FALSE
"Convolvulus_arvensis","Convolvulus_arvensis",1666,FALSE,FALSE
"Cornus_alternifolia","Cornus_alternifolia",1675,FALSE,FALSE
"Cornus_racemosa","Cornus_racemosa",1675,FALSE,FALSE
"Cornus_sericea","Cornus_sericea",1679,FALSE,FALSE
"Triadenum_fraseri","Triadenum_fraseri",1550,FALSE,FALSE
"Cyperus_filiculmis","Cyperus_filiculmis",818,FALSE,FALSE
"Cyperus_strigosus","Cyperus_strigosus",818,FALSE,FALSE
"Danthonia_spicata","Danthonia_spicata",1482,FALSE,FALSE
"Dulichium_arundinaceum","Dulichium_arundinaceum",856,FALSE,FALSE
"Echinacea_purpurea","Echinacea_purpurea",1571,FALSE,FALSE
"Elymus_violaceus","Elymus_violaceus",1647,FALSE,FALSE
"Eragrostis_spectabilis","Eragrostis_spectabilis",1643,FALSE,FALSE
"Eutrochium_maculatum","Eutrochium_maculatum",1668,FALSE,FALSE
"Euphorbia_corollata","Euphorbia_corollata",1058,FALSE,FALSE
"Elymus_smithii","Elymus_smithii",1641,FALSE,FALSE
"Galium_aparine","Galium_aparine",1718,FALSE,FALSE
"Glechoma_hederacea","Glechoma_hederacea",1657,FALSE,FALSE
"Glyceria_grandis","Glyceria_grandis",1647,FALSE,FALSE
"Gnaphalium_uliginosum","Gnaphalium_uliginosum",1675,FALSE,FALSE
"Heliopsis_helianthoides","Heliopsis_helianthoides",1717,FALSE,FALSE
"Impatiens_capensis","Impatiens_capensis",1718,FALSE,FALSE
"Leersia_oryzoides","Leersia_oryzoides",1652,FALSE,FALSE
"Lepidium_virginicum","Lepidium_virginicum",1607,FALSE,FALSE
"Liatris_aspera","Liatris_aspera",1717,FALSE,FALSE
"Linaria_vulgaris","Linaria_vulgaris",1526,FALSE,FALSE
"Lysimachia_ciliata","Lysimachia_ciliata",1514,FALSE,FALSE
"Lysimachia_thyrsiflora","Lysimachia_thyrsiflora",1514,FALSE,FALSE
"Maianthemum_canadense","Maianthemum_canadense",694,FALSE,FALSE
"Mirabilis_albida","Mirabilis_albida",656,FALSE,FALSE
"Mirabilis_nyctaginea","Mirabilis_nyctaginea",637,FALSE,FALSE
"Monarda_fistulosa","Monarda_fistulosa",1715,FALSE,FALSE
"Nepeta_cataria","Nepeta_cataria",1715,FALSE,FALSE
"Panicum_capillare","Panicum_capillare",1663,FALSE,FALSE
"Dichanthelium_acuminatum","Dichanthelium_acuminatum",1568,FALSE,FALSE
"Panicum_miliaceum","Panicum_miliaceum",1614,FALSE,FALSE
"Dichanthelium_oligosanthes","Dichanthelium_oligosanthes",1644,FALSE,FALSE
"Panicum_virgatum","Panicum_virgatum",1663,FALSE,FALSE
"Parietaria_pensylvanica","Parietaria_pensylvanica",748,FALSE,FALSE
"Penstemon_gracilis","Penstemon_gracilis",1718,FALSE,FALSE
"Penthorum_sedoides","Penthorum_sedoides",1597,FALSE,FALSE
"Phleum_pratense","Phleum_pratense",1647,FALSE,FALSE
"Phlox_pilosa","Phlox_pilosa",1689,FALSE,FALSE
"Phryma_leptostachya","Phryma_leptostachya",1659,FALSE,FALSE
"Physalis_virginiana","Physalis_virginiana",1713,FALSE,FALSE
"Plantago_lanceolata","Plantago_lanceolata",1660,FALSE,FALSE
"Comarum_palustre","Comarum_palustre",1549,FALSE,FALSE
"Prunus_americana","Prunus_americana",1567,FALSE,FALSE
"Prunus_serotina","Prunus_serotina",1518,FALSE,FALSE
"Prunus_virginiana","Prunus_virginiana",1524,FALSE,FALSE
"Rhus_glabra","Rhus_glabra",1636,FALSE,FALSE
"Rhus_typhina","Rhus_typhina",1579,FALSE,FALSE
"Rudbeckia_hirta","Rudbeckia_hirta",1717,FALSE,FALSE
"Sagittaria_latifolia","Sagittaria_latifolia",1640,FALSE,FALSE
"Kali_turgidum","Kali_turgidum",1621,FALSE,FALSE
"Schizachyrium_scoparium","Schizachyrium_scoparium",1618,FALSE,FALSE
"Scirpus_cyperinus","Scirpus_cyperinus",823,FALSE,FALSE
"Eleocharis_geniculata","Eleocharis_geniculata",865,FALSE,FALSE
"Scleria_triglomerata","Scleria_triglomerata",821,FALSE,FALSE
"Seemannia_sylvatica","Seemannia_sylvatica",1687,FALSE,FALSE
"Silene_antirrhina","Silene_antirrhina",1718,FALSE,FALSE
"Maianthemum_racemosum","Maianthemum_racemosum",694,FALSE,FALSE
"Maianthemum_stellatum","Maianthemum_stellatum",694,FALSE,FALSE
"Smilax_herbacea","Smilax_herbacea",1559,FALSE,FALSE
"Solanum_carolinense","Solanum_carolinense",1713,FALSE,FALSE
"Solanum_dulcamara","Solanum_dulcamara",1380,FALSE,FALSE
"Solidago_missouriensis","Solidago_missouriensis",1717,FALSE,FALSE
"Sorghastrum_nutans","Sorghastrum_nutans",1663,FALSE,FALSE
"Rhamnus_cathartica","Rhamnus_cathartica",1647,FALSE,FALSE
"Spiraea_tomentosa","Spiraea_tomentosa",1604,FALSE,FALSE
"Trachypogon_spicatus","Trachypogon_spicatus",1670,FALSE,FALSE
"Streptopus_lanceolatus","Streptopus_lanceolatus",1565,FALSE,FALSE
"Symphoricarpos_occidentalis","Symphoricarpos_occidentalis",1718,FALSE,FALSE
"Thalictrum_dasycarpum","Thalictrum_dasycarpum",1637,FALSE,FALSE
"Thalictrum_dioicum","Thalictrum_dioicum",1637,FALSE,FALSE
"Dysphania_atriplicifolia","Dysphania_atriplicifolia",1485,FALSE,FALSE
