"","Species","NonGaps","removedPerGaps","removedMasking"
"Acer_negundo","Acer_negundo",527,FALSE,FALSE
"Acer_rubrum","Acer_rubrum",553,FALSE,FALSE
"Achillea_millefolium","Achillea_millefolium",579,FALSE,FALSE
"Agastache_foeniculum","Agastache_foeniculum",549,FALSE,FALSE
"Elymus_repens","Elymus_repens",603,FALSE,FALSE
"Andropogon_gerardi","Andropogon_gerardi",603,FALSE,FALSE
"Agrostis_scabra","Agrostis_scabra",516,FALSE,FALSE
"Allium_cernuum","Allium_cernuum",552,FALSE,FALSE
"Allium_stellatum","Allium_stellatum",552,FALSE,FALSE
"Alnus_incana","Alnus_incana",552,FALSE,FALSE
"Amaranthus_retroflexus","Amaranthus_retroflexus",568,FALSE,FALSE
"Ambrosia_artemisiifolia","Ambrosia_artemisiifolia",561,FALSE,FALSE
"Ambrosia_psilostachya","Ambrosia_psilostachya",552,FALSE,FALSE
"Amelanchier_alnifolia","Amelanchier_alnifolia",552,FALSE,FALSE
"Amelanchier_laevis","Amelanchier_laevis",552,FALSE,FALSE
"Amelanchier_sanguinea","Amelanchier_sanguinea",525,FALSE,FALSE
"Amphicarpaea_bracteata","Amphicarpaea_bracteata",566,FALSE,FALSE
"Anemone_cylindrica","Anemone_cylindrica",549,FALSE,FALSE
"Anemone_quinquefolia","Anemone_quinquefolia",476,FALSE,FALSE
"Anemone_virginiana","Anemone_virginiana",553,FALSE,FALSE
"Antennaria_parlinii","Antennaria_parlinii",552,FALSE,FALSE
"Antennaria_neglecta","Antennaria_neglecta",526,FALSE,FALSE
"Antennaria_plantaginifolia","Antennaria_plantaginifolia",553,FALSE,FALSE
"Apocynum_androsaemifolium","Apocynum_androsaemifolium",553,FALSE,FALSE
"Apocynum_cannabinum","Apocynum_cannabinum",549,FALSE,FALSE
"Aquilegia_canadensis","Aquilegia_canadensis",549,FALSE,FALSE
"Boechera_divaricarpa","Boechera_divaricarpa",552,FALSE,FALSE
"Turritis_glabra","Turritis_glabra",569,FALSE,FALSE
"Arabis_hirsuta","Arabis_hirsuta",570,FALSE,FALSE
"Aralia_nudicaulis","Aralia_nudicaulis",552,FALSE,FALSE
"Moehringia_lateriflora","Moehringia_lateriflora",552,FALSE,FALSE
"Aristida_basiramea","Aristida_basiramea",552,FALSE,FALSE
"Aristida_tuberculosa","Aristida_tuberculosa",549,FALSE,FALSE
"Aronia_melanocarpa","Aronia_melanocarpa",543,FALSE,FALSE
