"","Species","NonGaps","removedPerGaps","removedMasking"
"Agrostis_scabra","Agrostis_scabra",1076,FALSE,FALSE
"Amaranthus_retroflexus","Amaranthus_retroflexus",1105,FALSE,FALSE
"Amelanchier_alnifolia","Amelanchier_alnifolia",817,FALSE,FALSE
"Amelanchier_laevis","Amelanchier_laevis",817,FALSE,FALSE
"Amphicarpaea_bracteata","Amphicarpaea_bracteata",1117,FALSE,FALSE
"Anemone_quinquefolia","Anemone_quinquefolia",837,FALSE,FALSE
"Aquilegia_canadensis","Aquilegia_canadensis",245,FALSE,FALSE
"Aronia_melanocarpa","Aronia_melanocarpa",817,FALSE,FALSE
"Astragalus_canadensis","Astragalus_canadensis",835,FALSE,FALSE
"Bromus_inermis","Bromus_inermis",1143,FALSE,FALSE
"Bromus_tectorum","Bromus_tectorum",1143,FALSE,FALSE
"Dysphania_atriplicifolia","Dysphania_atriplicifolia",1141,FALSE,FALSE
"Calamagrostis_stricta","Calamagrostis_stricta",220,FALSE,FALSE
"Epilobium_ciliatum","Epilobium_ciliatum",1062,FALSE,FALSE
"Campanula_rotundifolia","Campanula_rotundifolia",1062,FALSE,FALSE
"Carex_lasiocarpa","Carex_lasiocarpa",1094,FALSE,FALSE
"Carex_oligosperma","Carex_oligosperma",1087,FALSE,FALSE
"Chenopodium_album","Chenopodium_album",1099,FALSE,FALSE
"Sporobolus_michauxianus","Sporobolus_michauxianus",1107,FALSE,FALSE
"Cirsium_discolor","Cirsium_discolor",248,FALSE,FALSE
"Comarum_palustre","Comarum_palustre",835,FALSE,FALSE
"Digitaria_sanguinalis","Digitaria_sanguinalis",831,FALSE,FALSE
"Doellingeria_umbellata","Doellingeria_umbellata",453,FALSE,FALSE
"Elymus_repens","Elymus_repens",1143,FALSE,FALSE
"Comandra_umbellata","Comandra_umbellata",491,FALSE,FALSE
"Erechtites_hieraciifolius","Erechtites_hieraciifolius",201,FALSE,FALSE
"Erigeron_annuus","Erigeron_annuus",312,FALSE,FALSE
"Drymocallis_arguta","Drymocallis_arguta",312,FALSE,FALSE
"Euthamia_graminifolia","Euthamia_graminifolia",496,FALSE,FALSE
"Gnaphalium_uliginosum","Gnaphalium_uliginosum",1106,FALSE,FALSE
"Helenium_autumnale","Helenium_autumnale",248,FALSE,FALSE
"Iris_versicolor","Iris_versicolor",1121,FALSE,FALSE
"Juniperus_communis","Juniperus_communis",767,FALSE,FALSE
"Lactuca_canadensis","Lactuca_canadensis",247,FALSE,FALSE
"Larix_laricina","Larix_laricina",782,FALSE,FALSE
"Lespedeza_capitata","Lespedeza_capitata",292,FALSE,FALSE
"Lolium_multiflorum","Lolium_multiflorum",140,FALSE,FALSE
"Medicago_lupulina","Medicago_lupulina",1089,FALSE,FALSE
"Medicago_sativa","Medicago_sativa",1097,FALSE,FALSE
"Melilotus_officinalis","Melilotus_officinalis",1097,FALSE,FALSE
"Mollugo_verticillata","Mollugo_verticillata",828,FALSE,FALSE
"Monarda_fistulosa","Monarda_fistulosa",240,FALSE,FALSE
"Dichanthelium_acuminatum","Dichanthelium_acuminatum",1020,FALSE,FALSE
"Panicum_miliaceum","Panicum_miliaceum",1143,FALSE,FALSE
"Panicum_virgatum","Panicum_virgatum",1143,FALSE,FALSE
"Parthenocissus_quinquefolia","Parthenocissus_quinquefolia",1131,FALSE,FALSE
"Cenchrus_americanus","Cenchrus_americanus",1143,FALSE,FALSE
"Penthorum_sedoides","Penthorum_sedoides",212,FALSE,FALSE
"Phalaris_arundinacea","Phalaris_arundinacea",876,FALSE,FALSE
"Phleum_pratense","Phleum_pratense",591,FALSE,FALSE
"Plantago_lanceolata","Plantago_lanceolata",579,FALSE,FALSE
"Plantago_major","Plantago_major",169,FALSE,FALSE
