"","Species","NonGaps","removedPerGaps","removedMasking"
"Acer_negundo","Acer_negundo",509,FALSE,FALSE
"Achillea_millefolium","Achillea_millefolium",341,FALSE,FALSE
"Agastache_foeniculum","Agastache_foeniculum",469,FALSE,FALSE
"Elymus_repens","Elymus_repens",465,FALSE,FALSE
"Elymus_smithii","Elymus_smithii",355,FALSE,FALSE
"Allium_cernuum","Allium_cernuum",367,FALSE,FALSE
"Allium_stellatum","Allium_stellatum",367,FALSE,FALSE
"Amaranthus_retroflexus","Amaranthus_retroflexus",336,FALSE,FALSE
"Ambrosia_artemisiifolia","Ambrosia_artemisiifolia",356,FALSE,FALSE
"Ambrosia_psilostachya","Ambrosia_psilostachya",396,FALSE,FALSE
"Amelanchier_alnifolia","Amelanchier_alnifolia",429,FALSE,FALSE
"Amorpha_canescens","Amorpha_canescens",474,FALSE,FALSE
"Apocynum_androsaemifolium","Apocynum_androsaemifolium",283,FALSE,FALSE
"Apocynum_cannabinum","Apocynum_cannabinum",445,FALSE,FALSE
"Boechera_divaricarpa","Boechera_divaricarpa",347,FALSE,FALSE
"Turritis_glabra","Turritis_glabra",310,FALSE,FALSE
"Arabis_hirsuta","Arabis_hirsuta",247,FALSE,FALSE
"Aralia_nudicaulis","Aralia_nudicaulis",500,FALSE,FALSE
"Moehringia_lateriflora","Moehringia_lateriflora",355,FALSE,FALSE
"Aronia_melanocarpa","Aronia_melanocarpa",479,FALSE,FALSE
"Artemisia_ludoviciana","Artemisia_ludoviciana",354,FALSE,FALSE
"Asclepias_syriaca","Asclepias_syriaca",467,FALSE,FALSE
"Asclepias_tuberosa","Asclepias_tuberosa",308,FALSE,FALSE
"Asparagus_officinalis","Asparagus_officinalis",293,FALSE,FALSE
"Symphyotrichum_lanceolatum","Symphyotrichum_lanceolatum",506,FALSE,FALSE
"Symphyotrichum_novae-angliae","Symphyotrichum_novae-angliae",601,FALSE,FALSE
"Doellingeria_umbellata","Doellingeria_umbellata",512,FALSE,FALSE
"Astragalus_canadensis","Astragalus_canadensis",321,FALSE,FALSE
"Barbarea_vulgaris","Barbarea_vulgaris",319,FALSE,FALSE
"Berteroa_incana","Berteroa_incana",236,FALSE,FALSE
"Betula_alleghaniensis","Betula_alleghaniensis",207,FALSE,FALSE
"Bidens_cernua","Bidens_cernua",378,FALSE,FALSE
"Bidens_coronata","Bidens_coronata",416,FALSE,FALSE
"Rhamnus_cathartica","Rhamnus_cathartica",470,FALSE,FALSE
"Bouteloua_aristidoides","Bouteloua_aristidoides",505,FALSE,FALSE
"Bromus_ciliatus","Bromus_ciliatus",321,FALSE,FALSE
"Bromus_inermis","Bromus_inermis",355,FALSE,FALSE
"Bromus_tectorum","Bromus_tectorum",370,FALSE,FALSE
"Bouteloua_dactyloides","Bouteloua_dactyloides",513,FALSE,FALSE
"Caltha_palustris","Caltha_palustris",471,FALSE,FALSE
"Chenopodiastrum_hybridum","Chenopodiastrum_hybridum",464,FALSE,FALSE
"Campanula_rotundifolia","Campanula_rotundifolia",434,FALSE,FALSE
"Carex_bicknellii","Carex_bicknellii",503,FALSE,FALSE
"Carex_canescens","Carex_canescens",444,FALSE,FALSE
"Carex_echinata","Carex_echinata",505,FALSE,FALSE
"Carex_chordorrhiza","Carex_chordorrhiza",349,FALSE,FALSE
"Carex_comosa","Carex_comosa",516,FALSE,FALSE
"Carex_diandra","Carex_diandra",505,FALSE,FALSE
"Carex_disperma","Carex_disperma",495,FALSE,FALSE
"Carex_gracillima","Carex_gracillima",503,FALSE,FALSE
"Carex_interior","Carex_interior",505,FALSE,FALSE
"Carex_lasiocarpa","Carex_lasiocarpa",502,FALSE,FALSE
"Carex_vulpinoidea","Carex_vulpinoidea",505,FALSE,FALSE
"Carex_oligosperma","Carex_oligosperma",504,FALSE,FALSE
"Carex_pensylvanica","Carex_pensylvanica",349,FALSE,FALSE
"Carex_rostrata","Carex_rostrata",471,FALSE,FALSE
"Ceanothus_americanus","Ceanothus_americanus",457,FALSE,FALSE
"Celastrus_scandens","Celastrus_scandens",441,FALSE,FALSE
"Chamaedaphne_calyculata","Chamaedaphne_calyculata",213,FALSE,FALSE
"Chenopodium_leptophyllum","Chenopodium_leptophyllum",352,FALSE,FALSE
"Heterotheca_villosa","Heterotheca_villosa",351,FALSE,FALSE
"Circaea_lutetiana","Circaea_lutetiana",452,FALSE,FALSE
"Cirsium_arvense","Cirsium_arvense",409,FALSE,FALSE
"Cirsium_discolor","Cirsium_discolor",604,FALSE,FALSE
"Convolvulus_arvensis","Convolvulus_arvensis",322,FALSE,FALSE
"Erigeron_canadensis","Erigeron_canadensis",138,FALSE,FALSE
"Andropogon_gerardi","Andropogon_gerardi",428,FALSE,FALSE
"Coreopsis_palmata","Coreopsis_palmata",477,FALSE,FALSE
"Cornus_alternifolia","Cornus_alternifolia",529,FALSE,FALSE
"Cornus_sericea","Cornus_sericea",357,FALSE,FALSE
"Corylus_americana","Corylus_americana",511,FALSE,FALSE
"Crepis_tectorum","Crepis_tectorum",505,FALSE,FALSE
"Danthonia_spicata","Danthonia_spicata",343,FALSE,FALSE
"Chamaenerion_angustifolium","Chamaenerion_angustifolium",379,FALSE,FALSE
"Digitaria_ischaemum","Digitaria_ischaemum",490,FALSE,FALSE
"Digitaria_sanguinalis","Digitaria_sanguinalis",407,FALSE,FALSE
"Dulichium_arundinaceum","Dulichium_arundinaceum",507,FALSE,FALSE
"Parogonum_ciliinode","Parogonum_ciliinode",355,FALSE,FALSE
"Epilobium_ciliatum","Epilobium_ciliatum",422,FALSE,FALSE
"Erechtites_hieraciifolius","Erechtites_hieraciifolius",367,FALSE,FALSE
"Euthamia_graminifolia","Euthamia_graminifolia",529,FALSE,FALSE
"Festuca_ovina","Festuca_ovina",522,FALSE,FALSE
"Festuca_guestfalica","Festuca_guestfalica",533,FALSE,FALSE
"Festuca_guestphalica","Festuca_guestphalica",413,FALSE,FALSE
"Festuca_rubra","Festuca_rubra",518,FALSE,FALSE
"Fragaria_vesca","Fragaria_vesca",314,FALSE,FALSE
"Fragaria_virginiana","Fragaria_virginiana",515,FALSE,FALSE
"Fraxinus_nigra","Fraxinus_nigra",442,FALSE,FALSE
"Fraxinus_pennsylvanica","Fraxinus_pennsylvanica",461,FALSE,FALSE
"Seemannia_sylvatica","Seemannia_sylvatica",476,FALSE,FALSE
"Spiraea_alba","Spiraea_alba",324,FALSE,FALSE
