majorGroup,class,order,family_WFO,genus_PHY,species
G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba
A,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
A,Magnoliopsida,Fabales,Fabaceae,Amphicarpaea,Amphicarpaea bracteata
A,Magnoliopsida,Gentianales,Apocynaceae,Apocynum,Apocynum androsaemifolium
A,Magnoliopsida,Gentianales,Apocynaceae,Apocynum,Apocynum cannabinum
A,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia ludoviciana
A,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias syriaca
A,Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias verticillata
A,Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus officinalis
A,Liliopsida,Poales,Poaceae,Bromus,Bromus inermis
A,Liliopsida,Poales,Poaceae,Bromus,Bromus tectorum
A,Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis canadensis
A,Magnoliopsida,Ranunculales,Ranunculaceae,Caltha,Caltha palustris
A,Magnoliopsida,Asterales,Campanulaceae,Campanula,Campanula rotundifolia
A,Magnoliopsida,Celastrales,Celastraceae,Celastrus,Celastrus scandens
A,Magnoliopsida,Santalales,Santalaceae,Comandra,Comandra umbellata
A,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis
A,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron canadensis
A,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus alternifolia
A,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus racemosa
A,Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus sericea
A,Liliopsida,Poales,Poaceae,Danthonia,Danthonia spicata
A,Liliopsida,Poales,Poaceae,Elymus,Elymus violaceus
A,Liliopsida,Poales,Poaceae,Festuca,Festuca rubra
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium aparine
A,Magnoliopsida,Gentianales,Gentianaceae,Gentiana,Gentiana andrewsii
A,Magnoliopsida,Asterales,Asteraceae,Heliopsis,Heliopsis helianthoides
A,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Impatiens capensis
G,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus communis
A,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca serriola
G,Pinopsida,Pinales,Pinaceae,Larix,Larix laricina
A,Liliopsida,Poales,Poaceae,Leersia,Leersia oryzoides
