taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.09254416404674393,0.0799510795535878,0.9989244618625963,computed
A,0.09118821257806223,0.07567304079739891,0.9989118689981585,computed
Liliopsida,0.09118821257806223,0.07567304079739891,0.0,from A (not monophyletic)
Alismatales,0.09118821257806223,0.07567304079739891,0.0,from Liliopsida (cherry)
Alismataceae,0.09118821257806223,0.07567304079739891,0,from Alismatales (singleton)
Sagittaria,0.09118821257806223,0.07567304079739891,0,from Alismataceae (singleton)
Araceae,0.09118821257806223,0.07567304079739891,0.0,from Alismatales (unsampled)
Lemna,0.09118821257806223,0.07567304079739891,0.0,from Araceae (unsampled)
Asparagales,0.09118821257806223,0.07567304079739891,0.0,from Liliopsida (not monophyletic)
Amaryllidaceae,0.09118821257806223,0.07567304079739891,0.6666666666666667,from Asparagales (crown capture probability)
Allium,0.09118821257806223,0.07567304079739891,0.6666666666666667,from Amaryllidaceae (crown capture probability)
Asparagaceae,0.09118821257806223,0.07567304079739891,0.0,from Asparagales (not monophyletic)
Asparagus,0.09118821257806223,0.07567304079739891,0,from Asparagaceae (singleton)
Maianthemum,0.09118821257806223,0.07567304079739891,0.0,from Asparagaceae (not monophyletic)
Polygonatum,0.09118821257806223,0.07567304079739891,0.0,from Asparagaceae (cherry)
Hypoxidaceae,0.09118821257806223,0.07567304079739891,0,from Asparagales (singleton)
Hypoxis,0.09118821257806223,0.07567304079739891,0,from Hypoxidaceae (singleton)
Iridaceae,0.09118821257806223,0.07567304079739891,0.0,from Asparagales (not monophyletic)
Iris,0.09118821257806223,0.07567304079739891,0,from Iridaceae (singleton)
Sisyrinchium,0.09118821257806223,0.07567304079739891,0,from Iridaceae (singleton)
Orchidaceae,0.09118821257806223,0.07567304079739891,0,from Asparagales (singleton)
Platanthera,0.09118821257806223,0.07567304079739891,0,from Orchidaceae (singleton)
Commelinales,0.09118821257806223,0.07567304079739891,0.6666666666666667,from Liliopsida (crown capture probability)
Commelinaceae,0.09118821257806223,0.07567304079739891,0.6666666666666667,from Commelinales (crown capture probability)
Tradescantia,0.09118821257806223,0.07567304079739891,0.6666666666666667,from Commelinaceae (crown capture probability)
Liliales,0.004396346675189367,0.0,1.0,computed
Colchicaceae,0.004396346675189367,0.0,0,from Liliales (singleton)
Uvularia,0.004396346675189367,0.0,0,from Colchicaceae (singleton)
Liliaceae,0.004396346675189367,0.0,0,from Liliales (singleton)
Streptopus,0.004396346675189367,0.0,0,from Liliaceae (singleton)
Smilacaceae,0.004396346675189367,0.0,0,from Liliales (singleton)
Smilax,0.004396346675189367,0.0,0,from Smilacaceae (singleton)
Poales,0.09118821257806223,0.07567304079739891,0.0,from Liliopsida (not monophyletic)
Cyperaceae,0.2537748058574429,0.23484128795404668,0.9904761904761905,computed
Carex,0.27193567346186637,0.0,0.9909297052154195,computed
Cyperus,0.5228918501376829,0.0,0.8333333333333334,computed
Dulichium,0.2537748058574429,0.23484128795404668,0,from Cyperaceae (singleton)
Eleocharis,0.2537748058574429,0.23484128795404668,0.0,from Cyperaceae (cherry)
Scirpus,0.2537748058574429,0.23484128795404668,0,from Cyperaceae (singleton)
Scleria,0.2537748058574429,0.23484128795404668,0,from Cyperaceae (singleton)
Juncaceae,0.09118821257806223,0.07567304079739891,0.0,from Poales (cherry)
Juncus,0.09118821257806223,0.07567304079739891,0.0,from Juncaceae (cherry)
Poaceae,0.09118821257806223,0.07567304079739891,0.0,from Poales (not monophyletic)
Agrostis,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (cherry)
Andropogon,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (cherry)
Anthoxanthum,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (cherry)
Aristida,0.09118821257806223,0.07567304079739891,0.6666666666666667,from Poaceae (crown capture probability)
Bouteloua,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (not monophyletic)
Bromus,0.18400017818398612,0.08738284772395116,0.9,computed
Calamagrostis,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (not monophyletic)
Calamovilfa,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (unsampled)
Cenchrus,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (not monophyletic)
Cinnagrostis,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (unsampled)
Danthonia,0.09118821257806223,0.07567304079739891,0,from Poaceae (singleton)
Dichanthelium,0.09118821257806223,0.07567304079739891,0.6666666666666667,from Poaceae (crown capture probability)
Digitaria,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (not monophyletic)
Elymus,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (not monophyletic)
Eragrostis,0.09118821257806223,0.07567304079739891,1.0,from Poaceae (cherry)
Festuca,0.21239932923625998,0.21237551889235684,0.9,computed
Glyceria,0.09118821257806223,0.07567304079739891,0.0,from Poaceae (cherry)
Hesperostipa,0.09118821257806223,0.07567304079739891,1.0,from Poaceae (cherry)
Koeleria,0.09118821257806223,0.07567304079739891,0,from Poaceae (singleton)
