taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.09238966780147742,0.07979658642367524,0.9989300393302785,computed
A,0.0910333079519683,0.07551813191966382,0.9989176375534036,computed
Liliopsida,0.0910333079519683,0.07551813191966382,0.0,from A (not monophyletic)
Alismatales,0.0910333079519683,0.07551813191966382,0.0,from Liliopsida (cherry)
Alismataceae,0.0910333079519683,0.07551813191966382,0,from Alismatales (singleton)
Sagittaria,0.0910333079519683,0.07551813191966382,0,from Alismataceae (singleton)
Araceae,0.0910333079519683,0.07551813191966382,0.0,from Alismatales (unsampled)
Lemna,0.0910333079519683,0.07551813191966382,0.0,from Araceae (unsampled)
Asparagales,0.0910333079519683,0.07551813191966382,0.0,from Liliopsida (not monophyletic)
Amaryllidaceae,0.0910333079519683,0.07551813191966382,0.6666666666666667,from Asparagales (crown capture probability)
Allium,0.0910333079519683,0.07551813191966382,0.6666666666666667,from Amaryllidaceae (crown capture probability)
Asparagaceae,0.0910333079519683,0.07551813191966382,0.0,from Asparagales (not monophyletic)
Asparagus,0.0910333079519683,0.07551813191966382,0,from Asparagaceae (singleton)
Maianthemum,0.0910333079519683,0.07551813191966382,0.0,from Asparagaceae (not monophyletic)
Polygonatum,0.0910333079519683,0.07551813191966382,0.0,from Asparagaceae (cherry)
Hypoxidaceae,0.0910333079519683,0.07551813191966382,0,from Asparagales (singleton)
Hypoxis,0.0910333079519683,0.07551813191966382,0,from Hypoxidaceae (singleton)
Iridaceae,0.0910333079519683,0.07551813191966382,0.0,from Asparagales (not monophyletic)
Iris,0.0910333079519683,0.07551813191966382,0,from Iridaceae (singleton)
Sisyrinchium,0.0910333079519683,0.07551813191966382,0,from Iridaceae (singleton)
Orchidaceae,0.0910333079519683,0.07551813191966382,0,from Asparagales (singleton)
Platanthera,0.0910333079519683,0.07551813191966382,0,from Orchidaceae (singleton)
Commelinales,0.0910333079519683,0.07551813191966382,0.6666666666666667,from Liliopsida (crown capture probability)
Commelinaceae,0.0910333079519683,0.07551813191966382,0.6666666666666667,from Commelinales (crown capture probability)
Tradescantia,0.0910333079519683,0.07551813191966382,0.6666666666666667,from Commelinaceae (crown capture probability)
Liliales,0.0043963466742409805,0.0,1.0,computed
Colchicaceae,0.0043963466742409805,0.0,0,from Liliales (singleton)
Uvularia,0.0043963466742409805,0.0,0,from Colchicaceae (singleton)
Liliaceae,0.0043963466742409805,0.0,0,from Liliales (singleton)
Streptopus,0.0043963466742409805,0.0,0,from Liliaceae (singleton)
Smilacaceae,0.0043963466742409805,0.0,0,from Liliales (singleton)
Smilax,0.0043963466742409805,0.0,0,from Smilacaceae (singleton)
Poales,0.0910333079519683,0.07551813191966382,0.0,from Liliopsida (not monophyletic)
Cyperaceae,0.25377477823003614,0.234841235074977,0.9904761904761905,computed
Carex,0.2719356797850406,0.0,0.9909297052154195,computed
Cyperus,0.5228918501376829,0.0,0.8333333333333334,computed
Dulichium,0.25377477823003614,0.234841235074977,0,from Cyperaceae (singleton)
Eleocharis,0.25377477823003614,0.234841235074977,0.0,from Cyperaceae (cherry)
Scirpus,0.25377477823003614,0.234841235074977,0,from Cyperaceae (singleton)
Scleria,0.25377477823003614,0.234841235074977,0,from Cyperaceae (singleton)
Juncaceae,0.0910333079519683,0.07551813191966382,0.0,from Poales (cherry)
Juncus,0.0910333079519683,0.07551813191966382,0.0,from Juncaceae (cherry)
Poaceae,0.0910333079519683,0.07551813191966382,0.0,from Poales (not monophyletic)
Agrostis,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (cherry)
Andropogon,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (cherry)
Anthoxanthum,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (cherry)
Aristida,0.0910333079519683,0.07551813191966382,0.6666666666666667,from Poaceae (crown capture probability)
Bouteloua,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (not monophyletic)
Bromus,0.18400014946335597,0.0873827488553206,0.9,computed
Calamagrostis,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (not monophyletic)
Calamovilfa,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (unsampled)
Cenchrus,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (not monophyletic)
Cinnagrostis,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (unsampled)
Danthonia,0.0910333079519683,0.07551813191966382,0,from Poaceae (singleton)
Dichanthelium,0.0910333079519683,0.07551813191966382,0.6666666666666667,from Poaceae (crown capture probability)
Digitaria,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (not monophyletic)
Elymus,0.0910333079519683,0.07551813191966382,0.0,from Poaceae (not monophyletic)
Eragrostis,0.0910333079519683,0.07551813191966382,1.0,from Poaceae (cherry)
Festuca,0.2106980595388513,0.21068547376367294,0.9,computed
