node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings

Sagittaria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Araceae,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Lemna,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Asparagales,13,,,False,False,,,,,
Amaryllidaceae,3,2,3,True,True,0.1327721835682248,0.13774713588171125,0.0,0.0,
Allium,3,2,3,True,True,0.1327721835682248,0.13774713588171125,0.0,0.0,
Asparagaceae,6,,,False,False,,,,,
Asparagus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Maianthemum,3,,,False,False,,,,,
Polygonatum,2,1,2,True,True,0.001000000001,0.06827127068777576,1.0000000010000002e-12,0.0,
Hypoxidaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Hypoxis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Iridaceae,2,,,False,False,,,,,
Iris,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Sisyrinchium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Liliales,3,3,3,True,True,0.006341761058591821,0.006341761058591821,0.0,0.0,
Colchicaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Uvularia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Liliaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Streptopus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Orchidaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Platanthera,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Commelinales,3,2,3,True,True,546.1411947510546,0.04396302761693855,446.1411947510546,0.043601752547036784,
Commelinaceae,3,2,3,True,True,546.1411947510546,0.04396302761693855,446.1411947510546,0.043601752547036784,
Tradescantia,3,2,3,True,True,546.1411947510546,0.04396302761693855,446.1411947510546,0.043601752547036784,
Cyperus,4,3,4,True,True,0.7630004771762076,0.81024430332752,0.0,0.0,
Dulichium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Eleocharis,2,1,2,True,True,0.001000000001,0.7855205467192335,1.0000000010000002e-12,0.0,
Scirpus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Scleria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Juncaceae,2,1,2,True,True,0.001000000001,0.04632726375252347,1.0000000010000002e-12,0.0,
Juncus,2,1,2,True,True,0.001000000001,0.04632726375252347,1.0000000010000002e-12,0.0,
Poaceae,92,,,False,False,,,,,
Agrostis,2,1,2,True,True,0.001000000001,0.17653156088701794,1.0000000010000002e-12,0.0,
Andropogon,2,1,2,True,True,0.001000000001,0.25491687656337586,1.0000000010000002e-12,0.0,
Anthoxanthum,2,1,2,True,True,0.001000000001,0.005633195867692278,1.0000000010000002e-12,0.0,
Aristida,3,2,3,True,True,0.08262609625567878,0.05465356424038569,0.0,0.0,
Bouteloua,8,,,False,False,,,,,
Bromus,5,4,5,True,True,0.17543245723396958,0.1914095583715737,0.0,0.0,
Calamagrostis,4,,,False,False,,,,,
Smilacaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Smilax,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Poales,129,,,False,False,,,,,
Cyperaceae,31,27,31,True,True,0.23321738929114502,0.23926046966125508,0.21365429713968428,0.2220376233207168,
Carex,22,20,22,True,True,0.26475497653448843,0.2580840750036395,0.0,0.0,
Calamovilfa,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Cenchrus,3,,,False,False,,,,,
Cinnagrostis,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Danthonia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Dichanthelium,7,3,7,True,True,1.0094029988459348,0.26115455077183497,0.0,0.2609742124963414,
Digitaria,4,,,False,False,,,,,
Elymus,5,,,False,False,,,,,
Eragrostis,2,2,2,True,True,0.026152729554776506,0.026152729554776506,0.0,0.0,
Festuca,5,4,5,True,True,0.14129591068867373,0.20748593430240708,0.039595494556744715,0.16952453318332886,
Glyceria,2,1,2,True,True,0.001000000001,0.04097826631046379,1.0000000010000002e-12,0.0,
Hesperostipa,2,2,2,True,True,1.4756045828506013,1.4756045828506013,0.0,0.0,
Koeleria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Leersia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Lolium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Miscanthus,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Muhlenbergia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Panicum,5,3,5,True,True,0.08595957079865478,0.08934834270231509,0.0,0.0,
Paspalum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Phalaris,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Phleum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Poa,5,4,5,True,True,0.18723783981966,0.14209647428180566,0.187236362530299,0.10262198495454779,
Schizachne,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Schizachyrium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Secale,2,2,2,True,True,52.78367901044541,52.78367901044541,0.0,0.0,
Setaria,3,2,3,True,True,0.32455287155756,0.058333176108421605,0.0,0.0,
Sorghastrum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Sporobolus,6,,,False,False,,,,,
Trachypogon,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Typhaceae,3,2,3,True,True,0.04693684125203338,0.018424282026747448,0.0,0.0,
Typha,3,2,3,True,True,0.04693684125203338,0.018424282026747448,0.0,0.0,
Cicuta,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Heptaptera,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Lichtensteinia,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Zizia,2,2,2,True,True,0.3600715239303471,0.3600715239303471,0.0,0.0,
Araliaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Aralia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Aquifoliales,2,1,2,True,True,0.001000000001,0.012206775103931245,1.0000000010000002e-12,0.0,
Aquifoliaceae,2,1,2,True,True,0.001000000001,0.012206775103931245,1.0000000010000002e-12,0.0,
Ilex,2,1,2,True,True,0.001000000001,0.012206775103931245,1.0000000010000002e-12,0.0,
Asterales,102,,,False,False,,,,,
Artemisia,3,2,3,True,True,0.26595900536482203,0.285179460839707,0.0,0.0,
Aster,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Bidens,5,4,5,True,True,2.240888629801624,2.179970777991528,0.0,0.0,
Cirsium,4,3,4,True,True,0.3375488182887123,0.3120373431157176,0.0,0.0,
Coreopsis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Asteraceae,96,,,False,False,,,,,
Achillea,2,1,2,True,True,0.001000000001,0.1531751915757566,1.0000000010000002e-12,0.0,
Ageratina,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Ambrosia,2,2,2,True,True,1.445297037586821,1.445297037586821,0.0,0.0,
Antennaria,4,3,4,True,True,197.32201865670285,222.80009525443182,97.32201865670284,122.80009525443182,
Crepis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Doellingeria,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Echinacea,2,1,2,True,True,0.001000000001,0.24544372891136262,1.0000000010000002e-12,0.0,
Erechtites,2,1,2,True,True,0.001000000001,0.07422380363748447,1.0000000010000002e-12,0.0,
Erigeron,5,4,5,True,True,0.4502428624507237,0.47896697480085854,0.0,0.0,
Xyridaceae,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Xyris,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Magnoliopsida,439,,,False,False,,,,,
Apiales,6,4,6,True,True,0.026066389981071726,0.026311092760297316,0.01664097120902066,0.013427547399445674,
Apiaceae,5,3,5,True,True,0.053683344103598665,0.0382043914774368,0.036022440276431665,0.0,
Eupatorium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Eurybia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Euthamia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Eutrochium,2,1,2,True,True,0.001000000001,0.3050707702072512,1.0000000010000002e-12,0.0,
Gamochaeta,2,1,2,True,True,0.001000000001,0.28763284887255786,1.0000000010000002e-12,0.0,
Gnaphalium,2,1,2,True,True,0.001000000001,1.0684831870016585,1.0000000010000002e-12,0.0,
Helenium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
