"","MRCA","MaxAge","MinAge","taxonA","taxonB"
"1","ba5829a603447f1f4e66f2e0de0673fa",325.05003,325.05003,"Sagittaria_latifolia","Ginkgo_biloba"
"3","6488d2da19710312bce4efd0b18a9afd",135.758067,135.758067,"Sagittaria_latifolia","Parthenocissus_inserta"
"14","4ed1f01801ecdde7d908353379654cd1",6.22150900000014,6.22150900000014,"Digitaria_sanguinalis","Digitaria_ischaemum"
"17","320cf316932daa5dc140e587004438ca",1.4964710000001,1.4964710000001,"Setaria_viridis","Setaria_italica"
"20","902e4b7c0bbd44fc05593e26c886b225",10.6100320000001,10.6100320000001,"Panicum_miliaceum","Panicum_virgatum"
"21","56ea8ac61303491b0b2890cca443a436",1.53090900000012,1.53090900000012,"Panicum_miliaceum","Panicum_capillare"
"33","14982c38dcd937aa215d6c3274860a02",12.2879860000001,12.2879860000001,"Bouteloua_aristidoides","Muhlenbergia_racemosa"
"34","d04ed716a2901ce6cc83179bbeb8d2fa",7.96990700000015,7.96990700000015,"Bouteloua_aristidoides","Bouteloua_curtipendula"
"37","7c94ea6446380e279a1b36e0e9ec902c",6.26775800000024,6.26775800000024,"Sporobolus_rigidus","Sporobolus_heterolepis"
"40","7de797bfa36d0e8f4ddc62e69a40780d",15.3273230000003,15.3273230000003,"Glyceria_grandis","Schizachne_purpurascens"
"43","f6a25b8c9a3aa8771bec461ebe6dae7c",5.24211500000024,5.24211500000024,"Bromus_inermis","Bromus_tectorum"
"48","30f70b053bed6f9ed1d8d33a5313954a",0.00631500000025653,0.00631500000025653,"Secale_cereale","Secale_vavilovii"
"72","382fa32fb607d914a0494e59b6fe3a53",10.3476130000002,10.3476130000002,"Typha_latifolia","Typha_angustifolia"
"75","5e847b67d31e4389d9884692bfcab346",41.1532890000001,41.1532890000001,"Scleria_triglomerata","Eleocharis_geniculata"
"76","516e0b09553f19e7b4ac25b9105358e5",26.4336780000002,26.4336780000002,"Eleocharis_geniculata","Dulichium_arundinaceum"
"77","f1747abea02c83e9ffa58f229439793e",23.2591800000002,23.2591800000002,"Eleocharis_geniculata","Cyperus_schweinitzii"
"78","bb04a44b19ea9eac4afb6d75024aea25",0.878320000000087,0.878320000000087,"Cyperus_schweinitzii","Cyperus_filiculmis"
"80","d40a04e8a23a9ca4165c58a10ecac424",16.1175540000002,16.1175540000002,"Dulichium_arundinaceum","Scirpus_cyperinus"
"81","8cc3936d0986c1a2599d178ec7f8cef8",14.8546520000002,14.8546520000002,"Scirpus_cyperinus","Carex_scoparia"
"82","4b12f68e7a12e75532d3727fd56c99e9",5.92655600000023,5.92655600000023,"Carex_scoparia","Carex_canescens"
