taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.04123716281203708,0.03155281812949328,0.9997834493426141,computed
Alismatales,0.04123716281203708,0.03155281812949328,0,from __TAXONOMIC_ROOT__ (singleton)
Alismataceae,0.04123716281203708,0.03155281812949328,0,from Alismatales (singleton)
Sagittaria,0.04123716281203708,0.03155281812949328,0,from Alismataceae (singleton)
Apiales,0.03294468107734824,0.03294144961561889,1.0,computed
Apiaceae,0.040258398622259925,0.04025785980134573,1.0,computed
Cicuta,0.040258398622259925,0.04025785980134573,0,from Apiaceae (singleton)
Zizia,0.040258398622259925,0.04025785980134573,1.0,from Apiaceae (cherry)
Araliaceae,0.03294468107734824,0.03294144961561889,0,from Apiales (singleton)
Aralia,0.03294468107734824,0.03294144961561889,0,from Araliaceae (singleton)
Aquifoliales,0.04123716281203708,0.03155281812949328,0,from __TAXONOMIC_ROOT__ (singleton)
Aquifoliaceae,0.04123716281203708,0.03155281812949328,0,from Aquifoliales (singleton)
Ilex,0.04123716281203708,0.03155281812949328,0,from Aquifoliaceae (singleton)
Asparagales,0.013107916125117419,0.005594073723013124,1.0,computed
Amaryllidaceae,0.013107916125117419,0.005594073723013124,1.0,from Asparagales (cherry)
Allium,0.013107916125117419,0.005594073723013124,1.0,from Amaryllidaceae (cherry)
Asparagaceae,0.013107916125117419,0.005594073723013124,0.0,from Asparagales (not monophyletic)
Asparagus,0.013107916125117419,0.005594073723013124,0,from Asparagaceae (singleton)
Maianthemum,0.037507490614439504,0.0,1.0,computed
Polygonatum,0.013107916125117419,0.005594073723013124,0,from Asparagaceae (singleton)
Hypoxidaceae,0.013107916125117419,0.005594073723013124,0,from Asparagales (singleton)
Hypoxis,0.013107916125117419,0.005594073723013124,0,from Hypoxidaceae (singleton)
Iridaceae,0.013107916125117419,0.005594073723013124,0.0,from Asparagales (not monophyletic)
Iris,0.013107916125117419,0.005594073723013124,0,from Iridaceae (singleton)
Sisyrinchium,0.013107916125117419,0.005594073723013124,0,from Iridaceae (singleton)
Orchidaceae,0.013107916125117419,0.005594073723013124,0,from Asparagales (singleton)
Platanthera,0.013107916125117419,0.005594073723013124,0,from Orchidaceae (singleton)
Asterales,0.04123716281203708,0.03155281812949328,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Asteraceae,0.04123716281203708,0.03155281812949328,0.0,from Asterales (not monophyletic)
Achillea,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Ageratina,0.04123716281203708,0.03155281812949328,0.0,from Asteraceae (unsampled)
Ambrosia,0.04123716281203708,0.03155281812949328,1.0,from Asteraceae (cherry)
Antennaria,0.04717325371563081,0.0,1.0,computed
Artemisia,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Bidens,0.03583423766519361,0.0,1.0,computed
Cirsium,0.04123716281203708,0.03155281812949328,1.0,from Asteraceae (cherry)
Coreopsis,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Crepis,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Doellingeria,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Echinacea,0.04123716281203708,0.03155281812949328,0.0,from Asteraceae (cherry)
Erechtites,0.04123716281203708,0.03155281812949328,0.0,from Asteraceae (unsampled)
Erigeron,0.32066323038754,0.32065863146946283,1.0,computed
Eupatorium,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Eurybia,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Euthamia,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Eutrochium,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Gamochaeta,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Gnaphalium,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Helenium,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Helianthus,800.1997570861381,800.0521669540564,0.8333333333333334,computed
Heliopsis,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Heterotheca,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Hieracium,0.04123716281203708,0.03155281812949328,0.6666666666666667,from Asteraceae (crown capture probability)
Krigia,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Lactuca,0.03920949528603252,0.0,1.0,computed
Liatris,1.0000000282819324,1.0000000272819323,1.0,computed
Nabalus,0.04123716281203708,0.03155281812949328,1.0,from Asteraceae (cherry)
Packera,0.04123716281203708,0.03155281812949328,1.0,from Asteraceae (cherry)
Pilosella,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Ratibida,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Rudbeckia,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Solidago,0.04123716281203708,0.03155281812949328,0.0,from Asteraceae (not monophyletic)
Sonchus,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Symphyotrichum,0.04123716281203708,0.03155281812949328,0.0,from Asteraceae (not monophyletic)
Taraxacum,0.04123716281203708,0.03155281812949328,0.0,from Asteraceae (unsampled)
Tragopogon,0.04123716281203708,0.03155281812949328,0.0,from Asteraceae (unsampled)
Vernonia,0.04123716281203708,0.03155281812949328,0,from Asteraceae (singleton)
Campanulaceae,0.014043510143387245,0.014043470140439123,1.0,computed
Campanula,0.014043510143387245,0.014043470140439123,1.0,from Campanulaceae (cherry)
Lobelia,0.014043510143387245,0.014043470140439123,1.0,from Campanulaceae (cherry)
Boraginales,0.04683953122581926,0.046839443598429696,1.0,computed
Boraginaceae,0.04683953122581926,0.046839443598429696,1.0,computed
Hackelia,0.04683953122581926,0.046839443598429696,0,from Boraginaceae (singleton)
Lithospermum,0.05766003519812748,0.0576595298734975,1.0,computed
Brassicales,0.021688402887532356,0.0,1.0,computed
Brassicaceae,0.021688402887532356,0.0,1.0,computed
Arabis,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Barbarea,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Berteroa,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Boechera,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Capsella,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Lepidium,0.021688402887532356,0.0,1.0,from Brassicaceae (cherry)
Sisymbrium,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Turritis,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Caryophyllales,0.04123716281203708,0.03155281812949328,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Amaranthaceae,0.04123716281203708,0.03155281812949328,0.0,from Caryophyllales (not monophyletic)
Amaranthus,0.04123716281203708,0.03155281812949328,0,from Amaranthaceae (singleton)
Chenopodiastrum,0.04123716281203708,0.03155281812949328,0,from Amaranthaceae (singleton)
Chenopodium,0.04123716281203708,0.03155281812949328,1.0,from Amaranthaceae (cherry)
Dysphania,0.04123716281203708,0.03155281812949328,0,from Amaranthaceae (singleton)
Kali,0.04123716281203708,0.03155281812949328,0,from Amaranthaceae (singleton)
Caryophyllaceae,0.008008325409340622,0.0,0.9,computed
Moehringia,0.008008325409340622,0.0,0,from Caryophyllaceae (singleton)
Silene,0.008008325409340622,0.0,0.0,from Caryophyllaceae (cherry)
Stellaria,0.008008325409340622,0.0,0.0,from Caryophyllaceae (not monophyletic)
Molluginaceae,0.04123716281203708,0.03155281812949328,0,from Caryophyllales (singleton)
Mollugo,0.04123716281203708,0.03155281812949328,0,from Molluginaceae (singleton)
Nyctaginaceae,0.04123716281203708,0.03155281812949328,1.0,from Caryophyllales (cherry)
Mirabilis,0.04123716281203708,0.03155281812949328,1.0,from Nyctaginaceae (cherry)
Polygonaceae,0.04123716281203708,0.03155281812949328,0.0,from Caryophyllales (not monophyletic)
Fallopia,0.04123716281203708,0.03155281812949328,0.0,from Polygonaceae (not monophyletic)
Persicaria,0.03211920918854336,0.027795389490515802,1.0,computed
Polygonella,0.04123716281203708,0.03155281812949328,0,from Polygonaceae (singleton)
Polygonum,0.04123716281203708,0.03155281812949328,0,from Polygonaceae (singleton)
Rumex,0.04123716281203708,0.03155281812949328,0.6666666666666667,from Polygonaceae (crown capture probability)
Portulacaceae,0.04123716281203708,0.03155281812949328,0,from Caryophyllales (singleton)
Portulaca,0.04123716281203708,0.03155281812949328,0,from Portulacaceae (singleton)
Celastrales,0.04123716281203708,0.03155281812949328,0,from __TAXONOMIC_ROOT__ (singleton)
Celastraceae,0.04123716281203708,0.03155281812949328,0,from Celastrales (singleton)
Celastrus,0.04123716281203708,0.03155281812949328,0,from Celastraceae (singleton)
Commelinales,0.04123716281203708,0.03155281812949328,1.0,from __TAXONOMIC_ROOT__ (cherry)
Commelinaceae,0.04123716281203708,0.03155281812949328,1.0,from Commelinales (cherry)
Tradescantia,0.04123716281203708,0.03155281812949328,1.0,from Commelinaceae (cherry)
Cornales,0.02397562826288972,0.0,1.0,computed
Cornaceae,0.02397562826288972,0.0,1.0,computed
Cornus,0.02397562826288972,0.0,1.0,computed
Dipsacales,0.024524590110657916,0.0245244775932733,1.0,computed
Adoxaceae,0.024524590110657916,0.0245244775932733,0,from Dipsacales (singleton)
Viburnum,0.024524590110657916,0.0245244775932733,0,from Adoxaceae (singleton)
