node,taxonomy_tips,backbone_tips,simulated_tips,backbone_monophyletic,simulated_monophyletic,backbone_birth,simulated_birth,backbone_death,simulated_death,warnings

Apiaceae,3,3,3,True,True,0.04123001857523353,0.04123001857523353,0.0,0.0,
Cicuta,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Zizia,2,2,2,True,True,0.09530319784786206,0.09530319784786206,0.0,0.0,
Araliaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Aralia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Aquifoliales,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Aquifoliaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Ilex,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Asparagales,11,11,11,True,True,0.009865888035335663,0.009865888035335663,0.0,0.0,
Amaryllidaceae,2,2,2,True,True,0.1930603260308782,0.1930603260308782,0.0,0.0,
Allium,2,2,2,True,True,0.1930603260308782,0.1930603260308782,0.0,0.0,
Asparagaceae,5,,,False,False,,,,,
Asparagus,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Maianthemum,3,3,3,True,True,0.05605300390619448,0.05605300390619448,0.0,0.0,
Polygonatum,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Hypoxidaceae,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Hypoxis,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Iridaceae,2,,,False,False,,,,,
Iris,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Sisyrinchium,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
Ageratina,1,0,1,False,True,,0.001000000001,,1.0000000010000002e-12,
Ambrosia,2,2,2,True,True,0.11317212366292755,0.11317212366292755,0.0,0.0,
Antennaria,3,3,3,True,True,0.0699644474394905,0.0699644474394905,0.0,0.0,
Artemisia,1,1,1,True,True,0.001000000001,0.001000000001,1.0000000010000002e-12,1.0000000010000002e-12,
