class,order,family,genus,species
Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer negundo
Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer rubrum
Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
Magnoliopsida,Lamiales,Lamiaceae,Agastache,Agastache foeniculum
Liliopsida,Poales,Poaceae,Elymus,Elymus repens
Liliopsida,Poales,Poaceae,Elymus,Elymus smithii
Liliopsida,Poales,Poaceae,Poa,Poa nemoralis
Liliopsida,Poales,Poaceae,Agrostis,Agrostis scabra
Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium cernuum
Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium stellatum
Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus incana
Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus retroflexus
Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia psilostachya
Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier alnifolia
Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier arborea
Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier spicata
Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier laevis
Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier sanguinea
Magnoliopsida,Fabales,Fabaceae,Amorpha,Amorpha canescens
Magnoliopsida,Fabales,Fabaceae,Amphicarpaea,Amphicarpaea bracteata
Liliopsida,Poales,Poaceae,Andropogon,Andropogon gerardi
Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone cylindrica
Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone patens
Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone quinquefolia
Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone virginiana
Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria parlinii
Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria neglecta
Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria plantaginifolia
Magnoliopsida,Gentianales,Apocynaceae,Apocynum,Apocynum androsaemifolium
Magnoliopsida,Gentianales,Apocynaceae,Apocynum,Apocynum cannabinum
Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,Aquilegia canadensis
Magnoliopsida,Brassicales,Brassicaceae,Boechera,Boechera divaricarpa
Magnoliopsida,Brassicales,Brassicaceae,Turritis,Turritis glabra
Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis hirsuta
Magnoliopsida,Apiales,Araliaceae,Aralia,Aralia nudicaulis
Magnoliopsida,Caryophyllales,Caryophyllaceae,Moehringia,Moehringia lateriflora
Liliopsida,Poales,Poaceae,Aristida,Aristida basiramea
Liliopsida,Poales,Poaceae,Aristida,Aristida tuberculosa
Magnoliopsida,Rosales,Rosaceae,Aronia,Aronia melanocarpa
Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia ludoviciana
Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias exaltata
Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias incarnata
Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias ovalifolia
Magnoliopsida,Gentianales,Apocynaceae,Asclepias,Asclepias syriaca
