taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.04123717757836398,0.03155284878822669,0.9997834493426141,computed
Alismatales,0.04123717757836398,0.03155284878822669,0,from __TAXONOMIC_ROOT__ (singleton)
Alismataceae,0.04123717757836398,0.03155284878822669,0,from Alismatales (singleton)
Sagittaria,0.04123717757836398,0.03155284878822669,0,from Alismataceae (singleton)
Apiales,0.03322340555583941,0.03322013181247472,1.0,computed
Apiaceae,0.04025841126914598,0.04025787277558072,1.0,computed
Cicuta,0.04025841126914598,0.04025787277558072,0,from Apiaceae (singleton)
Zizia,0.04025841126914598,0.04025787277558072,1.0,from Apiaceae (cherry)
Araliaceae,0.03322340555583941,0.03322013181247472,0,from Apiales (singleton)
Aralia,0.03322340555583941,0.03322013181247472,0,from Araliaceae (singleton)
Aquifoliales,0.04123717757836398,0.03155284878822669,0,from __TAXONOMIC_ROOT__ (singleton)
Aquifoliaceae,0.04123717757836398,0.03155284878822669,0,from Aquifoliales (singleton)
Ilex,0.04123717757836398,0.03155284878822669,0,from Aquifoliaceae (singleton)
Asparagales,0.013107915792768255,0.005594072893110392,1.0,computed
Amaryllidaceae,0.013107915792768255,0.005594072893110392,1.0,from Asparagales (cherry)
Allium,0.013107915792768255,0.005594072893110392,1.0,from Amaryllidaceae (cherry)
Asparagaceae,0.013107915792768255,0.005594072893110392,0.0,from Asparagales (not monophyletic)
Asparagus,0.013107915792768255,0.005594072893110392,0,from Asparagaceae (singleton)
Maianthemum,0.037507490490624414,0.0,1.0,computed
Polygonatum,0.013107915792768255,0.005594072893110392,0,from Asparagaceae (singleton)
Hypoxidaceae,0.013107915792768255,0.005594072893110392,0,from Asparagales (singleton)
Hypoxis,0.013107915792768255,0.005594072893110392,0,from Hypoxidaceae (singleton)
Iridaceae,0.013107915792768255,0.005594072893110392,0.0,from Asparagales (not monophyletic)
Iris,0.013107915792768255,0.005594072893110392,0,from Iridaceae (singleton)
Sisyrinchium,0.013107915792768255,0.005594072893110392,0,from Iridaceae (singleton)
Orchidaceae,0.013107915792768255,0.005594072893110392,0,from Asparagales (singleton)
Platanthera,0.013107915792768255,0.005594072893110392,0,from Orchidaceae (singleton)
Asterales,0.04123717757836398,0.03155284878822669,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Asteraceae,0.04123717757836398,0.03155284878822669,0.0,from Asterales (not monophyletic)
Achillea,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Ageratina,0.04123717757836398,0.03155284878822669,0.0,from Asteraceae (unsampled)
Ambrosia,0.04123717757836398,0.03155284878822669,1.0,from Asteraceae (cherry)
Antennaria,0.04717325371563081,0.0,1.0,computed
Artemisia,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Bidens,0.03583423766519361,0.0,1.0,computed
Cirsium,0.04123717757836398,0.03155284878822669,1.0,from Asteraceae (cherry)
Coreopsis,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Crepis,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Doellingeria,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Echinacea,0.04123717757836398,0.03155284878822669,0.0,from Asteraceae (cherry)
Erechtites,0.04123717757836398,0.03155284878822669,0.0,from Asteraceae (unsampled)
Erigeron,0.3207108478185241,0.3207086761567239,1.0,computed
Eupatorium,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Eurybia,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Euthamia,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Eutrochium,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Gamochaeta,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Gnaphalium,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Helenium,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Helianthus,800.2188358776791,800.06819635253,0.8333333333333334,computed
Heliopsis,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Heterotheca,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Hieracium,0.04123717757836398,0.03155284878822669,0.6666666666666667,from Asteraceae (crown capture probability)
Krigia,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Lactuca,0.03920949532178393,0.0,1.0,computed
Liatris,1.0000000282819324,1.0000000272819323,1.0,computed
Nabalus,0.04123717757836398,0.03155284878822669,1.0,from Asteraceae (cherry)
Packera,0.04123717757836398,0.03155284878822669,1.0,from Asteraceae (cherry)
Pilosella,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Ratibida,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Rudbeckia,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Solidago,0.04123717757836398,0.03155284878822669,0.0,from Asteraceae (not monophyletic)
Sonchus,0.04123717757836398,0.03155284878822669,0,from Asteraceae (singleton)
Symphyotrichum,0.04123717757836398,0.03155284878822669,0.0,from Asteraceae (not monophyletic)
Taraxacum,0.04123717757836398,0.03155284878822669,0.0,from Asteraceae (unsampled)
Tragopogon,0.04123717757836398,0.03155284878822669,0.0,from Asteraceae (unsampled)
