order,family,genus,species
Sapindales,Sapindaceae,Acer,Acer negundo
Sapindales,Sapindaceae,Acer,Acer rubrum
Asterales,Asteraceae,Achillea,Achillea millefolium
Lamiales,Lamiaceae,Agastache,Agastache foeniculum
Poales,Poaceae,Elymus,Elymus repens
Poales,Poaceae,Elymus,Elymus smithii
Poales,Poaceae,Poa,Poa nemoralis
Poales,Poaceae,Agrostis,Agrostis scabra
Asparagales,Amaryllidaceae,Allium,Allium cernuum
Asparagales,Amaryllidaceae,Allium,Allium stellatum
Fagales,Betulaceae,Alnus,Alnus incana
Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus retroflexus
Asterales,Asteraceae,Ambrosia,Ambrosia artemisiifolia
Asterales,Asteraceae,Ambrosia,Ambrosia psilostachya
Rosales,Rosaceae,Amelanchier,Amelanchier alnifolia
Rosales,Rosaceae,Amelanchier,Amelanchier arborea
Rosales,Rosaceae,Amelanchier,Amelanchier spicata
Rosales,Rosaceae,Amelanchier,Amelanchier laevis
Rosales,Rosaceae,Amelanchier,Amelanchier sanguinea
Fabales,Fabaceae,Amorpha,Amorpha canescens
Fabales,Fabaceae,Amphicarpaea,Amphicarpaea bracteata
Poales,Poaceae,Andropogon,Andropogon gerardi
Ranunculales,Ranunculaceae,Anemone,Anemone cylindrica
Ranunculales,Ranunculaceae,Anemone,Anemone patens
Ranunculales,Ranunculaceae,Anemone,Anemone quinquefolia
Ranunculales,Ranunculaceae,Anemone,Anemone virginiana
Asterales,Asteraceae,Antennaria,Antennaria parlinii
Asterales,Asteraceae,Antennaria,Antennaria neglecta
Asterales,Asteraceae,Antennaria,Antennaria plantaginifolia
Gentianales,Apocynaceae,Apocynum,Apocynum androsaemifolium
Gentianales,Apocynaceae,Apocynum,Apocynum cannabinum
Ranunculales,Ranunculaceae,Aquilegia,Aquilegia canadensis
Brassicales,Brassicaceae,Boechera,Boechera divaricarpa
Brassicales,Brassicaceae,Turritis,Turritis glabra
Brassicales,Brassicaceae,Arabis,Arabis hirsuta
Apiales,Araliaceae,Aralia,Aralia nudicaulis
Caryophyllales,Caryophyllaceae,Moehringia,Moehringia lateriflora
Poales,Poaceae,Aristida,Aristida basiramea
Poales,Poaceae,Aristida,Aristida tuberculosa
Rosales,Rosaceae,Aronia,Aronia melanocarpa
Asterales,Asteraceae,Artemisia,Artemisia ludoviciana
Gentianales,Apocynaceae,Asclepias,Asclepias exaltata
Gentianales,Apocynaceae,Asclepias,Asclepias incarnata
Gentianales,Apocynaceae,Asclepias,Asclepias ovalifolia
Gentianales,Apocynaceae,Asclepias,Asclepias syriaca
Gentianales,Apocynaceae,Asclepias,Asclepias tuberosa
Gentianales,Apocynaceae,Asclepias,Asclepias verticillata
Gentianales,Apocynaceae,Asclepias,Asclepias viridiflora
Asparagales,Asparagaceae,Asparagus,Asparagus officinalis
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum oolentangiense
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum ericoides
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum boreale
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum lanceolatum
Asterales,Asteraceae,Eurybia,Eurybia macrophylla
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum novae-angliae
Asterales,Asteraceae,Solidago,Solidago ptarmicoides
Asterales,Asteraceae,Symphyotrichum,Symphyotrichum puniceum
Asterales,Asteraceae,Doellingeria,Doellingeria umbellata
Fabales,Fabaceae,Astragalus,Astragalus canadensis
Fabales,Fabaceae,Baptisia,Baptisia alba
Brassicales,Brassicaceae,Barbarea,Barbarea vulgaris
Brassicales,Brassicaceae,Berteroa,Berteroa incana
Fagales,Betulaceae,Betula,Betula alleghaniensis
Fagales,Betulaceae,Betula,Betula papyrifera
Fagales,Betulaceae,Betula,Betula pumila
Asterales,Asteraceae,Bidens,Bidens cernua
Asterales,Asteraceae,Bidens,Bidens trichosperma
Asterales,Asteraceae,Bidens,Bidens tripartita
Poales,Poaceae,Bouteloua,Bouteloua curtipendula
Poales,Poaceae,Bouteloua,Bouteloua aristidoides
Poales,Poaceae,Chondrosum,Chondrosum hirsutum
Poales,Poaceae,Bromus,Bromus ciliatus
Poales,Poaceae,Bromus,Bromus inermis
Poales,Poaceae,Bromus,Bromus kalmii
Poales,Poaceae,Bromus,Bromus tectorum
Poales,Poaceae,Bouteloua,Bouteloua dactyloides
Poales,Poaceae,Calamagrostis,Calamagrostis canadensis
Poales,Poaceae,Calamagrostis,Calamagrostis stricta
Poales,Poaceae,Sporobolus,Sporobolus rigidus
Ranunculales,Ranunculaceae,Caltha,Caltha palustris
Asterales,Campanulaceae,Campanula,Campanula aparinoides
