"","MRCA","MaxAge","MinAge","taxonA","taxonB"
"10","9f894eca46dfeaa4fa07cd802a5c5447",82.8873449999983,82.8873449999983,"Micranthes_pensylvanica","Ribes_hirtellum"
"25","fa758ebeb0af41ccf5814f1b6ee7a353",58.5123539999968,58.5123539999968,"Zanthoxylum_americanum","Toxicodendron_radicans"
"37","938364ecf47fd2f68bc8b20444caefc0",76.7836629999965,76.7836629999965,"Salix_bebbiana","Viola_palustris"
"58","3a369d62749074dde38cfde3f0d2b5fe",65.0203409999976,65.0203409999976,"Parietaria_pensylvanica","Ulmus_pumila"
"92","6e32117013f20ebd83f10ab3a5146187",52.9931249999972,52.9931249999972,"Corylus_americana","Quercus_ellipsoidalis"
"100","5b6afdc6bbe84ba49049ad306e10d889",83.7201069999974,83.7201069999974,"Chamaecrista_fasciculata","Polygala_polygama"
"147","cd4a4830d3fb93e32819b6b1eedef98e",50.0875119999982,50.0875119999982,"Mollugo_verticillata","Portulaca_oleracea"
"166","bf8cc4c4073abc0584d27b96b4528014",39.5921209999997,39.5921209999997,"Aralia_nudicaulis","Cicuta_bulbifera"
"243","005f85927e34741c68fd5307ae0a6b41",63.0360469999987,63.0360469999987,"Convolvulus_arvensis","Solanum_carolinense"
"265","eb9c77cbb2c6bdadbe17e4ec2ac06598",42.4563309999985,42.4563309999985,"Verbena_hastata","Mimulus_ringens"
"286","50ac7bb4395d455bd3bd1a2d0769b511",61.0656279999994,61.0656279999994,"Gentiana_andrewsii","Apocynum_cannabinum"
"413","d57fb3a7f0322972318fd1c596ff0c8b",136.456762999997,136.456762999997,"Uvularia_sessilifolia","Smilax_herbacea"
"414","1be151566c1f188f96a459eb9a49874f",78.2551819999971,78.2551819999971,"Smilax_herbacea","Streptopus_lanceolatus"
"415","149cbbc84e8039314f373e90a02a43bd",157.400939999998,157.400939999998,"Platanthera_lacera","Iris_versicolor"
"417","1f5932b24bc2db59795b6b5c6a6bccc3",105.330452999998,105.330452999998,"Iris_versicolor","Allium_cernuum"
"425","55a203fbbb992cd1e1d8d41ca06727a4",248.577937999998,248.577937999998,"Larix_laricina","Juniperus_virginiana"
