scinameCDR,scinameTPL,scinamePHY
Acer negundo,Acer_negundo,Acer negundo
Acer rubrum,Acer_rubrum,Acer rubrum
Achillea millefolium,Achillea_millefolium,Achillea millefolium
Agastache foeniculum,Agastache_foeniculum,Agastache foeniculum
Elymus repens,Elymus_repens,Elymus repens
Elymus smithii,Elymus_smithii,Elymus smithii
Poa nemoralis,Poa_nemoralis,Poa nemoralis
Agrostis scabra,Agrostis_scabra,Agrostis scabra
Allium cernuum,Allium_cernuum,Allium cernuum
Allium stellatum,Allium_stellatum,Allium stellatum
Alnus incana,Alnus_incana,Alnus incana
Amaranthus retroflexus,Amaranthus_retroflexus,Amaranthus retroflexus
Ambrosia artemisiifolia,Ambrosia_artemisiifolia,Ambrosia artemisiifolia
Ambrosia psilostachya,Ambrosia_psilostachya,Ambrosia psilostachya
Amelanchier alnifolia,Amelanchier_alnifolia,Amelanchier alnifolia
Amelanchier arborea,Amelanchier_arborea,Amelanchier arborea
Amelanchier spicata,Amelanchier_spicata,NA
Amelanchier laevis,Amelanchier_laevis,Amelanchier laevis
Amelanchier sanguinea,Amelanchier_sanguinea,Amelanchier sanguinea
Amorpha canescens,Amorpha_canescens,Amorpha canescens
Amphicarpaea bracteata,Amphicarpaea_bracteata,Amphicarpaea bracteata
Andropogon gerardii,Andropogon_gerardii,Andropogon gerardi
Anemone cylindrica,Anemone_cylindrica,Anemone cylindrica
Anemone patens,Anemone_patens,NA
Anemone quinquefolia,Anemone_quinquefolia,Anemone quinquefolia
Anemone virginiana,Anemone_virginiana,Anemone virginiana
Antennaria parlinii,Antennaria_parlinii,Antennaria parlinii
Antennaria neglecta,Antennaria_neglecta,Antennaria neglecta
Antennaria plantaginifolia,Antennaria_plantaginifolia,Antennaria plantaginifolia
Apocynum androsaemifolium,Apocynum_androsaemifolium,Apocynum androsaemifolium
Apocynum cannabinum,Apocynum_cannabinum,Apocynum cannabinum
Aquilegia canadensis,Aquilegia_canadensis,Aquilegia canadensis
Arabis divaricarpa,Arabis_divaricarpa,NA
Turritis glabra,Turritis_glabra,Turritis glabra
Arabis hirsuta,Arabis_hirsuta,Arabis hirsuta
Aralia nudicaulis,Aralia_nudicaulis,Aralia nudicaulis
Moehringia lateriflora,Moehringia_lateriflora,Moehringia lateriflora
Aristida basiramea,Aristida_basiramea,Aristida basiramea
Aristida tuberculosa,Aristida_tuberculosa,Aristida tuberculosa
Aronia melanocarpa,Aronia_melanocarpa,Aronia melanocarpa
Artemisia ludoviciana,Artemisia_ludoviciana,Artemisia ludoviciana
Asclepias exaltata,Asclepias_exaltata,Asclepias exaltata
Asclepias incarnata,Asclepias_incarnata,Asclepias incarnata
Asclepias ovalifolia,Asclepias_ovalifolia,Asclepias ovalifolia
Asclepias syriaca,Asclepias_syriaca,Asclepias syriaca
Asclepias tuberosa,Asclepias_tuberosa,Asclepias tuberosa
Asclepias verticillata,Asclepias_verticillata,Asclepias verticillata
Asclepias viridiflora,Asclepias_viridiflora,Asclepias viridiflora
Asparagus officinalis,Asparagus_officinalis,Asparagus officinalis
Symphyotrichum oolentangiense,Symphyotrichum_oolentangiense,Symphyotrichum oolentangiense
Symphyotrichum ericoides,Symphyotrichum_ericoides,Symphyotrichum ericoides
Symphyotrichum boreale,Symphyotrichum_boreale,Symphyotrichum boreale
Symphyotrichum lanceolatum,Symphyotrichum_lanceolatum,Symphyotrichum lanceolatum
Eurybia macrophylla,Eurybia_macrophylla,Eurybia macrophylla
Symphyotrichum novae-angliae,Symphyotrichum_novae-angliae,Symphyotrichum novae-angliae
Solidago ptarmicoides,Solidago_ptarmicoides,Solidago ptarmicoides
Symphyotrichum puniceum,Symphyotrichum_puniceum,Symphyotrichum puniceum
Doellingeria umbellata,Doellingeria_umbellata,Doellingeria umbellata
Astragalus canadensis,Astragalus_canadensis,Astragalus canadensis
Baptisia alba,Baptisia_alba,Baptisia alba
Barbarea vulgaris,Barbarea_vulgaris,Barbarea vulgaris
Berteroa incana,Berteroa_incana,Berteroa incana
Betula alleghaniensis,Betula_alleghaniensis,Betula alleghaniensis
Betula papyrifera,Betula_papyrifera,Betula papyrifera
Betula pumila,Betula_pumila,Betula pumila
Bidens cernua,Bidens_cernua,Bidens cernua
Bidens trichosperma,Bidens_trichosperma,Bidens trichosperma
Bidens tripartita,Bidens_tripartita,Bidens tripartita
Bouteloua curtipendula,Bouteloua_curtipendula,Bouteloua curtipendula
Bouteloua aristidoides,Bouteloua_aristidoides,Bouteloua aristidoides
Chondrosum hirsutum,Chondrosum_hirsutum,NA
Bromus ciliatus,Bromus_ciliatus,Bromus ciliatus
Bromus inermis,Bromus_inermis,Bromus inermis
Bromus kalmii,Bromus_kalmii,Bromus kalmii
Bromus tectorum,Bromus_tectorum,Bromus tectorum
Buchloe dactyloides,Buchloe_dactyloides,Bouteloua dactyloides
Calamagrostis canadensis,Calamagrostis_canadensis,Calamagrostis canadensis
Calamagrostis inexpansa,Calamagrostis_inexpansa,NA
Calamovilfa longifolia,Calamovilfa_longifolia,NA
Caltha palustris,Caltha_palustris,Caltha palustris
Campanula aparinoides,Campanula_aparinoides,Campanula aparinoides
Campanula rotundifolia,Campanula_rotundifolia,Campanula rotundifolia
Capsella bursa-pastoris,Capsella_bursa-pastoris,Capsella bursa-pastoris
Carex bebbii,Carex_bebbii,Carex bebbii
Carex bicknellii,Carex_bicknellii,Carex bicknellii
Carex canescens,Carex_canescens,Carex canescens
Carex echinata,Carex_echinata,Carex echinata
Carex chordorrhiza,Carex_chordorrhiza,Carex chordorrhiza
Carex comosa,Carex_comosa,Carex comosa
Carex diandra,Carex_diandra,Carex diandra
Carex disperma,Carex_disperma,Carex disperma
Carex foenea,Carex_foenea,Carex foenea
Carex gracillima,Carex_gracillima,Carex gracillima
Carex haydenii,Carex_haydenii,Carex haydenii
Carex interior,Carex_interior,Carex interior
Carex lacustris,Carex_lacustris,Carex lacustris
Carex lasiocarpa,Carex_lasiocarpa,Carex lasiocarpa
Carex vulpinoidea,Carex_vulpinoidea,Carex vulpinoidea
Carex oligosperma,Carex_oligosperma,Carex oligosperma
Carex pensylvanica,Carex_pensylvanica,Carex pensylvanica
Carex rostrata,Carex_rostrata,Carex rostrata
Carex scoparia,Carex_scoparia,Carex scoparia
Carex stricta,Carex_stricta,Carex stricta
Chamaecrista fasciculata,Chamaecrista_fasciculata,Chamaecrista fasciculata
Ceanothus americanus,Ceanothus_americanus,Ceanothus americanus
Celastrus scandens,Celastrus_scandens,Celastrus scandens
Cenchrus longispinus,Cenchrus_longispinus,Cenchrus longispinus
Chamaedaphne calyculata,Chamaedaphne_calyculata,Chamaedaphne calyculata
Chenopodium album,Chenopodium_album,Chenopodium album
Chenopodium hybridum,Chenopodium_hybridum,NA
Chenopodium leptophyllum,Chenopodium_leptophyllum,Chenopodium leptophyllum
Heterotheca villosa,Heterotheca_villosa,Heterotheca villosa
Cicuta bulbifera,Cicuta_bulbifera,Cicuta bulbifera
Circaea lutetiana,Circaea_lutetiana,Circaea lutetiana
Cirsium arvense,Cirsium_arvense,Cirsium arvense
Cirsium discolor,Cirsium_discolor,Cirsium discolor
Comandra umbellata,Comandra_umbellata,Comandra umbellata
Convolvulus arvensis,Convolvulus_arvensis,Convolvulus arvensis
