kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_NO_Phylogeny,tipLabel,IN_Phylogeny
Plantae,Tracheophyta,A,Magnoliopsida,Sapindales,Sapindaceae,Sapindaceae,Acer,Acer,sp.,Acer sp.,Acer sp.,Acer_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,sp.,Achillea sp.,Achillea sp.,Achillea_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Agrimonia,Agrimonia,sp.,Agrimonia sp.,Agrimonia sp.,Agrimonia_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Agrostis,Agrostis,sp.,Agrostis sp.,Agrostis sp.,Agrostis_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Amaryllidaceae,Amaryllidaceae,Allium,Allium,sp.,Allium sp.,Allium sp.,Allium_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,spicata,Amelanchier spicata,Amelanchier spicata,Amelanchier_spicata,0
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,sp.,Amelanchier sp.,Amelanchier sp.,Amelanchier_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Pulsatilla,Pulsatilla,patens,Pulsatilla patens,Anemone patens,Pulsatilla_patens,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Antennaria,Antennaria,sp.,Antennaria sp.,Antennaria sp.,Antennaria_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Gymnema,Gymnema,sp.,Gymnema sp.,Gymnema sp.,Gymnema_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Boechera,Boechera,divaricarpa,Boechera divaricarpa,Arabis divaricarpa,Boechera_divaricarpa,0
Plantae,Tracheophyta,A,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Arabis,Arabis,sp.,Arabis sp.,Arabis sp.,Arabis_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Aristida,Aristida,sp.,Aristida sp.,Aristida sp.,Aristida_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,sp.,Artemisia sp.,Artemisia sp.,Artemisia_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,sp.,Asclepias sp.,Asclepias sp.,Asclepias_sp.,0
