spec.name.ORIG,Matched,Fuzzy,scientificName,taxonRank,family,genus,specificEpithet,Old.status,spec.name.new
16 Species Weeds,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Acer negundo,TRUE,FALSE,Acer negundo,species,Sapindaceae,Acer,negundo,,Acer negundo
Acer rubrum,TRUE,FALSE,Acer rubrum,species,Sapindaceae,Acer,rubrum,,Acer rubrum
Acer sp.,TRUE,FALSE,Acer,genus,Sapindaceae,Acer,sp.,,Acer sp.
Achillea millefolium(lanulosa),TRUE,FALSE,Achillea millefolium,species,Asteraceae,Achillea,millefolium,,Achillea millefolium
Achillea sp.,TRUE,FALSE,Achillea,genus,Asteraceae,Achillea,sp.,,Achillea sp.
Agastache foeniculum,TRUE,FALSE,Agastache foeniculum,species,Lamiaceae,Agastache,foeniculum,,Agastache foeniculum
Agrimonia sp.,TRUE,FALSE,Agrimonia,genus,Rosaceae,Agrimonia,sp.,,Agrimonia sp.
Agropyron repens,TRUE,FALSE,Elymus repens,species,Poaceae,Elymus,repens,Synonym,Elymus repens
Agropyron smithii,TRUE,FALSE,Elymus smithii,species,Poaceae,Elymus,smithii,Synonym,Elymus smithii
Agrostis alba,TRUE,FALSE,Poa nemoralis,species,Poaceae,Poa,nemoralis,Synonym,Poa nemoralis
Agrostis scabra,TRUE,FALSE,Agrostis scabra,species,Poaceae,Agrostis,scabra,,Agrostis scabra
Agrostis sp.,TRUE,FALSE,Agrostis,genus,Poaceae,Agrostis,sp.,,Agrostis sp.
Allium cernuum,TRUE,FALSE,Allium cernuum,species,Amaryllidaceae,Allium,cernuum,,Allium cernuum
Allium sp.,TRUE,FALSE,Allium,genus,Amaryllidaceae,Allium,sp.,,Allium sp.
Allium stellatum,TRUE,FALSE,Allium stellatum,species,Amaryllidaceae,Allium,stellatum,,Allium stellatum
Alnus incana,TRUE,FALSE,Alnus incana,species,Betulaceae,Alnus,incana,,Alnus incana
Alnus rugosa,TRUE,FALSE,Alnus incana  subsp. rugosa,subspecies,Betulaceae,Alnus,incana,Synonym,Alnus incana
Amaranthus retroflexus,TRUE,FALSE,Amaranthus retroflexus,species,Amaranthaceae,Amaranthus,retroflexus,,Amaranthus retroflexus
Ambrosia artemisiifolia elatior,TRUE,TRUE,Ambrosia artemisiifolia,species,Asteraceae,Ambrosia,artemisiifolia,,Ambrosia artemisiifolia
Ambrosia coronopifolia,TRUE,FALSE,Ambrosia psilostachya,species,Asteraceae,Ambrosia,psilostachya,Synonym,Ambrosia psilostachya
Amelanchier alnifolia,TRUE,FALSE,Amelanchier alnifolia,species,Rosaceae,Amelanchier,alnifolia,,Amelanchier alnifolia
Amelanchier arborea,TRUE,FALSE,Amelanchier arborea,species,Rosaceae,Amelanchier,arborea,,Amelanchier arborea
Amelanchier humilis,TRUE,FALSE,Amelanchier humilis,species,Rosaceae,Amelanchier,humilis,,Amelanchier humilis
Amelanchier intermedia,TRUE,FALSE,Amelanchier intermedia,species,Rosaceae,Amelanchier,intermedia,,Amelanchier intermedia
Amelanchier laevis,TRUE,FALSE,Amelanchier laevis,species,Rosaceae,Amelanchier,laevis,,Amelanchier laevis
Amelanchier sanguinea,TRUE,FALSE,Amelanchier sanguinea,species,Rosaceae,Amelanchier,sanguinea,,Amelanchier sanguinea
Amelanchier sp.,TRUE,FALSE,Amelanchier,genus,Rosaceae,Amelanchier,sp.,,Amelanchier sp.
Amorpha canescens,TRUE,FALSE,Amorpha canescens,species,Fabaceae,Amorpha,canescens,,Amorpha canescens
Amphicarpa bracteata,TRUE,FALSE,Amphicarpa bracteata,species,Fabaceae,Amphicarpa,bracteata,,Amphicarpa bracteata
Andropogon gerardi,TRUE,TRUE,Andropogon gerardii,species,Poaceae,Andropogon,gerardii,,Andropogon gerardii
Anemone cylindrica,TRUE,FALSE,Anemone cylindrica,species,Ranunculaceae,Anemone,cylindrica,,Anemone cylindrica
Anemone patens,TRUE,FALSE,Pulsatilla patens,species,Ranunculaceae,Pulsatilla,patens,Synonym,Pulsatilla patens
Anemone quinquefolia,TRUE,FALSE,Anemone quinquefolia,species,Ranunculaceae,Anemone,quinquefolia,,Anemone quinquefolia
Anemone virginiana,TRUE,FALSE,Anemone virginiana,species,Ranunculaceae,Anemone,virginiana,,Anemone virginiana
Annuals,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Antennaria fallax,TRUE,FALSE,Antennaria parlinii  subsp. fallax,subspecies,Asteraceae,Antennaria,parlinii,Synonym,Antennaria parlinii
Antennaria neglecta,TRUE,FALSE,Antennaria neglecta,species,Asteraceae,Antennaria,neglecta,,Antennaria neglecta
Antennaria plantaginifolia,TRUE,FALSE,Antennaria plantaginifolia,species,Asteraceae,Antennaria,plantaginifolia,,Antennaria plantaginifolia
Antennaria sp.,TRUE,FALSE,Antennaria,genus,Asteraceae,Antennaria,sp.,,Antennaria sp.
Apocynum androsaemifolium,TRUE,FALSE,Apocynum androsaemifolium,species,Apocynaceae,Apocynum,androsaemifolium,,Apocynum androsaemifolium
Apocynum cannabinum,TRUE,FALSE,Apocynum cannabinum,species,Apocynaceae,Apocynum,cannabinum,,Apocynum cannabinum
Apocynum sibiricum,TRUE,FALSE,Apocynum cannabinum,species,Apocynaceae,Apocynum,cannabinum,Synonym,Apocynum cannabinum
Apocynum sp.,TRUE,FALSE,Apocynum,genus,Apocynaceae,Apocynum,sp.,,Apocynum sp.
Aquilegia canadensis,TRUE,FALSE,Aquilegia canadensis,species,Ranunculaceae,Aquilegia,canadensis,,Aquilegia canadensis
Arabis divaricarpa,TRUE,FALSE,Boechera divaricarpa,species,Brassicaceae,Boechera,divaricarpa,Synonym,Boechera divaricarpa
Arabis glabra,TRUE,FALSE,Turritis glabra,species,Brassicaceae,Turritis,glabra,Synonym,Turritis glabra
Arabis hirsuta,TRUE,FALSE,Arabis hirsuta,species,Brassicaceae,Arabis,hirsuta,,Arabis hirsuta
Arabis sp.,TRUE,FALSE,Arabis,genus,Brassicaceae,Arabis,sp.,,Arabis sp.
Aralia nudicaulis,TRUE,FALSE,Aralia nudicaulis,species,Araliaceae,Aralia,nudicaulis,,Aralia nudicaulis
Arenaria lateriflora,TRUE,FALSE,Moehringia lateriflora,species,Caryophyllaceae,Moehringia,lateriflora,Synonym,Moehringia lateriflora
Aristida basiramea,TRUE,FALSE,Aristida basiramea,species,Poaceae,Aristida,basiramea,,Aristida basiramea
Aristida sp.,TRUE,FALSE,Aristida,genus,Poaceae,Aristida,sp.,,Aristida sp.
Aristida tuberculosa,TRUE,FALSE,Aristida tuberculosa,species,Poaceae,Aristida,tuberculosa,,Aristida tuberculosa
Aronia melanocarpa,TRUE,FALSE,Aronia melanocarpa,species,Rosaceae,Aronia,melanocarpa,,Aronia melanocarpa
Artemisia (caudata) campestris,TRUE,FALSE,Artemisia,genus,Asteraceae,Artemisia,sp.,,Artemisia sp.
Artemisia ludoviciana,TRUE,FALSE,Artemisia ludoviciana,species,Asteraceae,Artemisia,ludoviciana,,Artemisia ludoviciana
Artemisia sp.,TRUE,FALSE,Artemisia,genus,Asteraceae,Artemisia,sp.,,Artemisia sp.
