plant_id,species,genus,family,order,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
1,Ginkgo biloba,Ginkgo,Ginkgoaceae,Ginkgoales,0.478,0.1078,1.2384,2.7894,3.2613,0.5785,1.2345,1.4928,1.3614
2,Juniperus virginiana,Juniperus,Cupressaceae,Pinales,-2.3467,-0.8554,5.157,1.1117,1.0748,0.7357,1.9029,2.2276,1.5904
3,Juniperus communis,Juniperus,Cupressaceae,Pinales,-2.5902,-1.5876,1.6941,0.9865,1.1037,1.0371,2.0143,2.4597,1.8949
4,Larix laricina,Larix,Pinaceae,Pinales,-2.2391,-0.7328,1.2771,2.5261,0.1387,1.0256,1.8063,2.2711,1.8959
5,Pinus strobus,Pinus,Pinaceae,Pinales,-1.452,-1.1247,2.3944,2.2557,1.2521,0.2456,0.7704,1.0291,0.9585
6,Pinus resinosa,Pinus,Pinaceae,Pinales,-0.8694,-1.4955,3.4135,2.3836,0.893,0.4087,1.1817,1.4012,1.172
7,Pinus banksiana,Pinus,Pinaceae,Pinales,-1.4307,-1.3746,3.3608,2.5043,0.5277,0.6196,1.4651,1.7489,1.4177
8,Sagittaria latifolia,Sagittaria,Alismataceae,Alismatales,0.4643,0.4219,-0.9817,0.4355,0.8453,-0.2112,0.1396,0.1581,-0.0217
9,Uvularia sessilifolia,Uvularia,Colchicaceae,Liliales,0.1693,0.7719,0.3559,0.5976,1.4323,0.6751,0.7155,0.7849,0.5683
10,Smilax herbacea,Smilax,Smilacaceae,Liliales,0.0408,0.0948,0.4913,0.5431,1.6555,0.8234,0.8429,0.9036,0.6314
11,Streptopus lanceolatus,Streptopus,Liliaceae,Liliales,-0.0395,-0.4175,0.5857,0.5005,1.3761,0.9199,0.9534,0.9685,0.6715
12,Platanthera lacera,Platanthera,Orchidaceae,Asparagales,-0.9432,-0.0461,0.579,-0.2661,-2.6843,0.2458,0.1509,-0.1227,-0.3543
13,Hypoxis hirsuta,Hypoxis,Hypoxidaceae,Asparagales,-1.0125,0.0151,0.4139,-1.019,-0.5916,0.0966,0.0216,-0.1752,-0.4382
14,Iris versicolor,Iris,Iridaceae,Asparagales,-0.1251,0.0628,0.1201,-0.1408,1.2356,0.2826,0.1824,0.0613,-0.1863
15,Allium cernuum,Allium,Amaryllidaceae,Asparagales,-0.397,1.1996,0.4448,-0.331,0.5735,0.1083,0.1481,0.0718,-0.2196
16,Allium stellatum,Allium,Amaryllidaceae,Asparagales,-0.4191,1.4327,0.5378,-0.3805,0.2471,0.0475,0.1195,0.0418,-0.2516
17,Sisyrinchium campestre,Sisyrinchium,Iridaceae,Asparagales,-0.4712,-0.1619,1.097,-0.4881,-0.4341,0.3189,0.4257,0.2297,-0.1557
18,Asparagus officinalis,Asparagus,Asparagaceae,Asparagales,-2.9052,-0.7982,1.3367,-1.0726,1.3647,0.6452,0.4641,0.3897,-0.1
19,Polygonatum biflorum,Polygonatum,Asparagaceae,Asparagales,-0.4134,-0.267,0.3882,0.6569,1.3906,0.7309,0.6616,0.6006,0.2158
20,Maianthemum racemosum,Maianthemum,Asparagaceae,Asparagales,0.3387,-0.2686,-0.1166,-1.2331,1.5815,0.0709,0.3435,0.1785,-0.2215
21,Maianthemum stellatum,Maianthemum,Asparagaceae,Asparagales,0.3264,-0.0954,-0.4017,-1.2447,1.4463,0.0012,0.1953,0.0315,-0.3053
22,Maianthemum canadense,Maianthemum,Asparagaceae,Asparagales,0.4114,-0.0297,-0.8576,-1.644,0.9891,-0.1349,0.1572,-0.0384,-0.3886
23,Tradescantia bracteata,Tradescantia,Commelinaceae,Commelinales,0.2353,1.4191,1.214,-0.4986,0.4764,-0.0231,-0.2115,-0.3845,-0.2241
24,Tradescantia occidentalis,Tradescantia,Commelinaceae,Commelinales,0.0291,-0.0157,0.3435,-0.6885,0.4684,0.0748,-0.4226,-0.6879,-0.3986
25,Typha latifolia,Typha,Typhaceae,Poales,2.3496,-0.9007,1.2913,0.4531,-1.4196,-1.1139,-0.5776,-1.0312,-1.0049
