plant_id,species,genus,family,order,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
1,Ginkgo biloba,Ginkgo,Ginkgoaceae,Ginkgoales,0.0953,0.0961,0.0962,0.0955,0.0942,0.0943,0.8249,0.6718,0.0945
2,Juniperus virginiana,Juniperus,Cupressaceae,Pinales,0.0978,0.0979,0.0986,0.4313,0.0944,0.0948,1.1591,0.8332,0.094
3,Juniperus communis,Juniperus,Cupressaceae,Pinales,0.0994,0.0978,0.0973,0.0964,0.0936,0.0915,1.1391,0.8279,0.0937
4,Larix laricina,Larix,Pinaceae,Pinales,0.0946,0.0981,0.0974,0.0971,0.0978,0.0923,1.1755,0.8658,0.0935
5,Pinus strobus,Pinus,Pinaceae,Pinales,0.0964,0.0968,0.099,0.4063,0.0968,0.0938,1.1832,0.8476,0.0929
6,Pinus resinosa,Pinus,Pinaceae,Pinales,0.0963,0.0955,0.098,0.097,0.4764,0.0903,1.1772,0.8465,0.0925
7,Pinus banksiana,Pinus,Pinaceae,Pinales,0.0966,0.0975,0.097,0.0965,0.0954,0.092,1.1711,0.8443,0.0925
8,Sagittaria latifolia,Sagittaria,Alismataceae,Alismatales,0.0964,1.8945,0.0967,0.0949,0.0959,1.6542,2.0788,2.3439,1.5364
9,Uvularia sessilifolia,Uvularia,Colchicaceae,Liliales,1.4674,0.0957,1.4358,1.5449,0.6906,1.4172,1.839,1.9975,1.3959
10,Smilax herbacea,Smilax,Smilacaceae,Liliales,1.4294,0.0972,1.487,1.4769,0.0956,1.4249,1.8063,1.9589,1.355
11,Streptopus lanceolatus,Streptopus,Liliaceae,Liliales,1.4725,0.0968,1.5,1.5849,0.7038,1.4187,1.8707,2.0268,1.4031
12,Platanthera lacera,Platanthera,Orchidaceae,Asparagales,0.8108,0.8581,0.8471,0.0965,0.0975,1.0916,1.0362,1.137,0.747
13,Hypoxis hirsuta,Hypoxis,Hypoxidaceae,Asparagales,0.8109,0.8363,0.8487,0.0955,0.0976,1.1028,1.0036,1.0941,0.7232
14,Iris versicolor,Iris,Iridaceae,Asparagales,0.6982,0.0984,0.0966,0.0964,0.0959,1.0495,0.8947,0.99,0.6628
15,Allium cernuum,Allium,Amaryllidaceae,Asparagales,0.8336,0.6082,0.6129,0.6381,0.0956,1.1192,1.0021,1.0999,0.737
16,Allium stellatum,Allium,Amaryllidaceae,Asparagales,0.8005,0.0972,0.0975,0.6243,0.0969,1.076,0.9572,1.0492,0.7109
17,Sisyrinchium campestre,Sisyrinchium,Iridaceae,Asparagales,0.0988,0.7068,0.0966,0.5489,0.0947,1.0474,0.9433,1.0441,0.705
18,Asparagus officinalis,Asparagus,Asparagaceae,Asparagales,0.0994,0.6912,0.0982,0.5118,0.0954,0.9215,0.0925,0.0906,0.0868
19,Polygonatum biflorum,Polygonatum,Asparagaceae,Asparagales,0.6674,0.0982,0.7292,0.0963,0.0952,1.037,0.8365,0.9186,0.6106
20,Maianthemum racemosum,Maianthemum,Asparagaceae,Asparagales,0.5846,0.1003,0.0972,0.4523,0.0959,1.0195,0.6589,0.7308,0.4985
21,Maianthemum stellatum,Maianthemum,Asparagaceae,Asparagales,0.5953,0.604,0.6223,0.458,0.0961,1.0365,0.7328,0.7956,0.5354
22,Maianthemum canadense,Maianthemum,Asparagaceae,Asparagales,0.0974,0.0976,0.0956,0.0962,0.0941,0.9324,0.0907,0.0917,0.0855
23,Tradescantia bracteata,Tradescantia,Commelinaceae,Commelinales,0.6025,0.0991,0.0964,0.4754,0.4952,1.3192,1.7465,1.9521,1.312
24,Tradescantia occidentalis,Tradescantia,Commelinaceae,Commelinales,0.0974,0.0988,0.0962,0.099,0.0966,1.294,1.7192,1.9273,1.2966
25,Typha latifolia,Typha,Typhaceae,Poales,0.0991,0.0974,0.0964,0.0949,0.097,0.3964,0.0881,0.0858,0.0825
26,Typha angustifolia,Typha,Typhaceae,Poales,0.0987,0.0966,0.096,0.0958,0.0967,0.3883,0.0865,0.0855,0.0779
27,Anthoxanthum nitens,Anthoxanthum,Poaceae,Poales,0.0988,0.685,0.0952,0.0942,0.0973,0.3597,0.09,0.0861,0.0791
28,Juncus tenuis,Juncus,Juncaceae,Poales,0.0985,0.0957,0.0983,0.0948,0.0964,0.3835,0.086,0.0844,0.08
29,Scleria triglomerata,Scleria,Cyperaceae,Poales,0.6569,0.6991,0.7188,0.096,0.0978,0.6502,0.8392,0.9096,0.6017
30,Eleocharis geniculata,Eleocharis,Cyperaceae,Poales,0.6645,0.7081,0.717,0.0962,0.0952,0.6583,0.8544,0.927,0.6157
31,Cyperus strigosus,Cyperus,Cyperaceae,Poales,0.6644,0.6915,0.702,0.0967,0.097,0.6522,0.8303,0.9014,0.599
32,Cyperus schweinitzii,Cyperus,Cyperaceae,Poales,0.6565,0.6962,0.7023,0.0976,0.0963,0.6438,0.8469,0.9186,0.6031
33,Cyperus filiculmis,Cyperus,Cyperaceae,Poales,0.667,0.7096,0.6856,0.0942,0.0959,0.6565,0.8148,0.8848,0.5896
34,Dulichium arundinaceum,Dulichium,Cyperaceae,Poales,0.6584,0.7148,0.7125,0.0961,0.0966,0.6431,0.8385,0.9115,0.602
35,Scirpus cyperinus,Scirpus,Cyperaceae,Poales,0.7036,0.713,0.701,0.0969,0.0958,0.6513,0.83,0.9027,0.5976
36,Carex haydenii,Carex,Cyperaceae,Poales,0.5866,0.5935,0.5863,0.4541,0.4697,0.6478,0.7186,0.7884,0.5338
37,Carex stricta,Carex,Cyperaceae,Poales,0.5525,0.0975,0.5846,0.0963,0.0971,0.607,0.6849,0.7548,0.4999
38,Carex lativena,Carex,Cyperaceae,Poales,0.5855,0.5936,0.5978,0.4483,0.4724,0.6366,0.7144,0.7768,0.5218
39,Carex gracillima,Carex,Cyperaceae,Poales,0.573,0.5822,0.5882,0.0964,0.4657,0.6291,0.6877,0.7459,0.4956
40,Carex pensylvanica,Carex,Cyperaceae,Poales,0.0963,0.5508,0.0959,0.0948,0.4497,0.4956,0.0913,0.0863,0.0793
41,Carex comosa,Carex,Cyperaceae,Poales,0.5531,0.573,0.5893,0.0941,0.0962,0.6322,0.6822,0.7375,0.4886
42,Carex oligosperma,Carex,Cyperaceae,Poales,0.5639,0.5847,0.5964,0.0946,0.0953,0.638,0.7045,0.7618,0.5002
43,Carex rostrata,Carex,Cyperaceae,Poales,0.0985,0.0987,0.0978,0.0943,0.0962,0.4794,0.0847,0.0827,0.0771
44,Carex lasiocarpa,Carex,Cyperaceae,Poales,0.0974,0.0967,0.0984,0.0975,0.0952,0.4811,0.0886,0.0843,0.0772
45,Carex lacustris,Carex,Cyperaceae,Poales,0.5665,0.0978,0.5711,0.094,0.4596,0.6181,0.6835,0.7501,0.4949
46,Carex chordorrhiza,Carex,Cyperaceae,Poales,0.5473,0.5565,0.099,0.0979,0.0968,0.5171,0.0877,0.0855,0.0796
47,Carex scoparia,Carex,Cyperaceae,Poales,0.5669,0.5883,0.59,0.0955,0.4641,0.6206,0.6909,0.7512,0.4952
