kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,seed_mass,whole_plant_height,root_dry_mass,leaf_area_per_leaf_dry_mass,leaf_area,leaf_life_span,leaf_dry_mass_per_leaf_fresh_mass,leaf_dry_mass,leaf_fresh_mass,leaf_nitrogen_content_per_leaf_area,leaf_nitrogen_content_per_leaf_dry_mass,leaf_phosphorus_content_per_leaf_area,leaf_phosphorus_content_per_leaf_dry_mass
Plantae,Tracheophyta,G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgoaceae,Ginkgo,Ginkgo,biloba,Ginkgo biloba,Ginkgo biloba,Ginkgo_biloba,1,NO,Ginkgo biloba,Ginkgo biloba,1310.09744,9.952488888888888,NA,NA,NA,NA,NA,NA,NA,NA,24.78636,NA,4.09025
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,millefolium,Achillea millefolium,Achillea millefolium,Achillea_millefolium,1,NO,Achillea aspleniifolia,Achillea millefolium,0.18619481081081082,0.1219649909918919,NA,15.105102759619719,3326.884307003226,NA,190.8115189,0.024348889,NA,0.001696088,23.566887366666666,NA,2.0123933333333333
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpaea,bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea_bracteata,1,NO,Amphicarpaea bracteata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum_androsaemifolium,1,NO,Apocynum androsaemifolium,Apocynum androsaemifolium,NA,1.5,NA,0.194127235,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum_cannabinum,1,NO,Apocynum cannabinum,Apocynum cannabinum,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia_ludoviciana,1,NO,Artemisia ludoviciana,Artemisia ludoviciana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias_syriaca,1,NO,Asclepias syriaca,Asclepias syriaca,5.948946375,0.071372096,NA,15.341490577777778,NA,NA,191.89955333333333,NA,NA,0.001669578,42.445,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias_verticillata,1,NO,Asclepias verticillata,Asclepias verticillata,2.387857142857143,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Asparagus,Asparagus,officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus_officinalis,1,NO,Asparagus officinalis,Asparagus officinalis,23.411358181818184,1.05,NA,10.927173909090909,22.6217,NA,303.597,0.004191,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,inermis,Bromus inermis,Bromus inermis,Bromus_inermis,1,NO,Bromus inermis,Bromus inermis,2.8525,0.7754761194029851,NA,16.338003102777776,1114.382785,NA,514.6980591,0.067567633,NA,9.61884355e-4,29.197938735789474,NA,2.5436517647058823
