kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,sciname_IN_GROOT,Mean_Root_diameter,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal colonization,Root_N_concentration,Root_P_concentration,Root_tissue_density,Rooting_depth,Specific_root_length,Specific_root_respiration,Root_litter_mass_loss_rate,Root_mass_fraction,Specific_root_area,Root_dry_matter_content,Root_mass_density,Lateral_spread,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Root_N_P_ratio,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_production,Root_stele_diameter,Root_stele_fraction,Net_nitrogen_uptake_rate,Root_vessel_diameter
Plantae,Tracheophyta,G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgoaceae,Ginkgo,Ginkgo,biloba,Ginkgo biloba,Ginkgo biloba,Ginkgo_biloba,1,NO,Ginkgo biloba,Ginkgo biloba,Ginkgo biloba,0.9492,NA,3.1185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,NA,0.1898,2.5,10.6842,NA,NA,0.129115357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,millefolium,Achillea millefolium,Achillea millefolium,Achillea_millefolium,1,NO,Achillea aspleniifolia,Achillea millefolium,Achillea lanulosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.153846154,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpaea,bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea_bracteata,1,NO,Amphicarpaea bracteata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum_androsaemifolium,1,NO,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,NA,NA,NA,447.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.94,NA,NA,1.2192,50.66666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum_cannabinum,1,NO,Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,0.304733333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.326740067,NA,54.03916377,NA,NA,0.26399554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia_ludoviciana,1,NO,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,0.31821746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222016659,NA,76.92231348,NA,NA,0.24225099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias_syriaca,1,NO,Asclepias syriaca,Asclepias syriaca,Asclepias syriaca,0.43,NA,NA,NA,25.3,NA,NA,NA,135,NA,NA,NA,NA,NA,18.0183,NA,0.14,NA,66.5,17.92999162,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias_verticillata,1,NO,Asclepias verticillata,Asclepias verticillata,Asclepias verticillata,0.4293,NA,NA,NA,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.60471025,NA,0.266379493,1.2112,37.10654453,9.162898533,NA,0.460715149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Asparagus,Asparagus,officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus_officinalis,1,NO,Asparagus officinalis,Asparagus officinalis,Asparagus officinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,inermis,Bromus inermis,Bromus inermis,Bromus_inermis,1,NO,Bromus inermis,Bromus inermis,Bromus inermis,0.281416667,NA,NA,378.2,19.39487179,NA,NA,NA,NA,NA,152.8,NA,NA,63.22222222,17.20145333,NA,0.268601793,NA,108.7724975,12.6351228,NA,0.559941695,1244.772143,0.17,NA,8,NA,NA,NA,475.5,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,tectorum,Bromus tectorum,Bromus tectorum,Bromus_tectorum,1,NO,Bromus tectorum,Bromus tectorum,Bromus tectorum,NA,NA,NA,416.2256622,59.40364729,NA,NA,NA,NA,NA,NA,NA,NA,41.17647059,7.006735802,NA,NA,0.90288,31.20434302,NA,NA,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Calamagrostis,Calamagrostis,canadensis,Calamagrostis canadensis,Calamagrostis canadensis,Calamagrostis_canadensis,1,NO,Calamagrostis canadensis,Calamagrostis canadensis,Calamagrostis canadensis,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4462575,NA,0.11,0.376111111,105.5834016,34.96129647,NA,0.257249738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Caltha,Caltha,palustris,Caltha palustris,Caltha palustris,Caltha_palustris,1,NO,Caltha palustris,Caltha palustris,Caltha palustris,0.2098,NA,NA,488.1268197,33.55219078,NA,NA,NA,NA,NA,36.13619752,NA,NA,27.16666667,20.83963843,1.267887726,0.083333333,NA,346.6829091,NA,0.53080518,NA,NA,0.15561392,NA,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Campanulaceae,Campanulaceae,Campanula,Campanula,rotundifolia,Campanula rotundifolia,Campanula rotundifolia,Campanula_rotundifolia,1,NO,Campanula rotundifolia,Campanula rotundifolia,Campanula rotundifolia,0.141566667,NA,NA,422.7817307,32.23191037,NA,NA,NA,NA,NA,NA,NA,NA,29.71428571,13.14618087,NA,0.146551312,NA,475.6578007,NA,NA,0.776835528,NA,0.117369409,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Celastrales,Celastraceae,Celastraceae,Celastrus,Celastrus,scandens,Celastrus scandens,Celastrus scandens,Celastrus_scandens,1,NO,Celastrus scandens,Celastrus scandens,Celastrus scandens,NA,NA,NA,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,NA,0.23,NA,40.4,NA,4.8,NA,NA,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Santalales,Comandraceae,Santalaceae,Comandra,Comandra,umbellata,Comandra umbellata,Comandra umbellata,Comandra_umbellata,1,NO,Comandra umbellata,Comandra umbellata,Comandra umbellata,0.321385714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334821433,NA,31.36179282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Convolvulaceae,Convolvulaceae,Convolvulus,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,Convolvulus_arvensis,1,NO,Convolvulus arvensis,Convolvulus arvensis,Convolvulus arvensis,NA,NA,NA,515.1387405,41.90315248,NA,NA,NA,NA,NA,NA,NA,NA,46.66666667,12.29355574,NA,NA,NA,31.40811581,NA,NA,0.313451841,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erigeron,Erigeron,canadensis,Erigeron canadensis,Erigeron canadensis,Erigeron_canadensis,1,NO,Erigeron canadensis,Conyza canadensis,Erigeron canadensis,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,0.09,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,alternifolia,Cornus alternifolia,Cornus alternifolia,Cornus_alternifolia,1,NO,Cornus alternifolia,Cornus alternifolia,Cornus alternifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,racemosa,Cornus racemosa,Cornus racemosa,Cornus_racemosa,1,NO,Cornus racemosa,Cornus racemosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,sericea,Cornus sericea,Cornus sericea,Cornus_sericea,1,NO,Cornus sericea,Cornus stolonifera,Cornus stolonifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Danthonia,Danthonia,spicata,Danthonia spicata,Danthonia spicata,Danthonia_spicata,1,NO,Danthonia spicata,Danthonia spicata,Danthonia spicata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,violaceus,Elymus violaceus,Elymus violaceus,Elymus_violaceus,1,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Festuca,Festuca,rubra,Festuca rubra,Festuca rubra,Festuca_rubra,1,NO,Festuca rubra,Festuca rubra,Festuca rubra,0.135688339,1.082194163,NA,452.1356104,55.65506921,NA,NA,13.29323116,NA,NA,141.475,NA,NA,42.0952381,8.260993354,NA,0.233235525,0.336666667,348.147287,6.397271424,NA,0.278900454,1420.981987,0.2214224,4.64059e-4,9.2,1.092050209,1.8,NA,643.3333333,NA,NA,98.77050015,0.106807288,28.63850859,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,aparine,Galium aparine,Galium aparine,Galium_aparine,1,NO,Galium aparine,Galium aparine,Galium aparine,0.153183334,NA,NA,517.65674979999994,20.14061584,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.66740825,NA,0.246153846,NA,342.4265529,63,NA,0.31826418,1076.724366,0.094133333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Gentianaceae,Gentianaceae,Gentiana,Gentiana,andrewsii,Gentiana andrewsii,Gentiana andrewsii,Gentiana_andrewsii,1,NO,Gentiana andrewsii,Gentiana andrewsii,Gentiana andrewsii,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Heliopsis,Heliopsis,helianthoides,Heliopsis helianthoides,Heliopsis helianthoides,Heliopsis_helianthoides,1,NO,Heliopsis helianthoides,Heliopsis helianthoides,Heliopsis helianthoides,0.38123125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155412644,NA,61.30678286,NA,NA,0.268602939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,A,Magnoliopsida,Ericales,Balsaminaceae,Balsaminaceae,Impatiens,Impatiens,capensis,Impatiens capensis,Impatiens capensis,Impatiens_capensis,1,NO,Impatiens capensis,Impatiens capensis,Impatiens capensis,NA,NA,NA,411.6281255,34.38806511,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03296184,NA,NA,NA,267.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae,Tracheophyta,G,Pinopsida,Pinales,Cupressaceae,Cupressaceae,Juniperus,Juniperus,communis,Juniperus communis,Juniperus communis,Juniperus_communis,1,NO,Juniperus communis,Juniperus communis,Juniperus communis,NA,NA,NA,492.9913474,85.70446942,8.03,NA,NA,NA,NA,422.4905779,NA,NA,50.25,6.475833557,1.366523862,0.6,0.98,5.55,NA,NA,0.265,NA,0.241424802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
