kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,seed_mass,whole_plant_height,root_dry_mass,leaf_area_per_leaf_dry_mass,leaf_area,leaf_life_span,leaf_dry_mass_per_leaf_fresh_mass,leaf_dry_mass,leaf_fresh_mass,leaf_nitrogen_content_per_leaf_area,leaf_nitrogen_content_per_leaf_dry_mass,leaf_phosphorus_content_per_leaf_area,leaf_phosphorus_content_per_leaf_dry_mass
Plantae,Tracheophyta,G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgoaceae,Ginkgo,Ginkgo,biloba,Ginkgo biloba,Ginkgo biloba,Ginkgo_biloba,1,NO,Ginkgo biloba,Ginkgo biloba,1310.09744,9.952488888888888,0.2160573132462256,19.207638036004955,7603.5704804193565,10.057166032194663,262.3677854837144,0.22663040537527226,1.3591301698668579,0.0021655041614060595,24.78636,0.11460464000000016,4.09025
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,millefolium,Achillea millefolium,Achillea millefolium,Achillea_millefolium,1,NO,Achillea aspleniifolia,Achillea millefolium,0.1861948108108108,0.1219649909918919,0.0971643330232783,15.10510275961972,3326.884307003226,4.437925172134785,190.8115189,0.024348889,0.6934067505657938,0.001696088,23.566887366666663,0.10217512000000009,2.0123933333333333
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpaea,bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea_bracteata,1,NO,Amphicarpaea bracteata,NA,14.946616530102904,0.9199720840945407,0.16148765429993991,17.222783019291406,5861.429176256611,4.980241542662034,270.0794744637451,0.1871052643488591,0.9248364360000866,0.0018934369877180925,31.169966186401474,0.09996604000000006,1.820697726187841
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum_androsaemifolium,1,NO,Apocynum androsaemifolium,Apocynum androsaemifolium,22.06191908608835,1.5,0.1960153700278796,0.194127235,1852.5604192772337,5.187692499269503,255.90452135880653,0.19141012540944805,0.8844723488595468,0.0022434985786666654,29.38318355132695,0.11455232000000033,2.3008561235647598
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum_cannabinum,1,NO,Apocynum cannabinum,Apocynum cannabinum,2.593638909701261,1.5,0.07332654496580444,14.024743357864473,1257.7830786701777,5.376954909287808,248.57080689349593,0.08970786752103721,0.5157732460625537,0.0018137596305152375,23.57908919511725,0.09500940000000005,1.7979170848284567
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia_ludoviciana,1,NO,Artemisia ludoviciana,Artemisia ludoviciana,1.5925338941665317,1.7869413268470848,0.13457760465804516,14.082705642473114,4271.725924235282,4.636588298923607,237.40761523811827,0.14747096291486336,0.7848433031690626,0.001723150613658094,22.674793174196736,0.10553544000000016,2.005634240007613
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias_syriaca,1,NO,Asclepias syriaca,Asclepias syriaca,5.948946375,0.071372096,0.25888119878240595,15.341490577777778,31563.870348134096,5.248543525194525,191.89955333333333,0.34530706900043084,1.9629660727207476,0.001669578,42.445,0.11797648000000016,2.02598440300532
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias_verticillata,1,NO,Asclepias verticillata,Asclepias verticillata,2.387857142857143,0.9,0.10655918939290233,20.557313581950496,1454.8828411851719,5.065016888343832,212.82447012699592,0.07893297381919526,0.6035080404173867,0.0018277581890952363,25.64063064068899,0.0967147200000001,1.8211527668279526
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Asparagus,Asparagus,officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus_officinalis,1,NO,Asparagus officinalis,Asparagus officinalis,23.411358181818184,1.05,0.06821418469278179,10.927173909090907,22.6217,8.008008663595449,303.597,0.004191,0.4657740577517765,0.0025829835050685686,20.528992038898483,0.09588200000000016,1.8445141421700846
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,inermis,Bromus inermis,Bromus inermis,Bromus_inermis,1,NO,Bromus inermis,Bromus inermis,2.8525,0.7754761194029851,0.16389748412288724,16.338003102777776,1114.382785,5.498357529776201,514.6980591,0.067567633,0.7880705247084341,9.61884355e-4,29.19793873578947,0.11792728000000038,2.5436517647058823
