kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgoaceae,Ginkgo,Ginkgo,biloba,Ginkgo biloba,Ginkgo biloba,Ginkgo_biloba,1,NO,Ginkgo biloba,Ginkgo biloba,woody,tree,broadleaved,1336,20.3,92.28989146,32.82584596,1083.9307,0.45,0.3940468903652649,0.3244237261593835,0.45
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,millefolium,Achillea millefolium,Achillea millefolium,Achillea_millefolium,1,NO,Achillea aspleniifolia,Achillea millefolium,non-woody,herbaceous non-graminoid,broadleaved,3011.693229202613,15.947699577085213,69.79925841593821,1.017519306287241,0.1,0.33372613678975993,0.3082328172219727,0.2567317717529737,0.25762066129002076
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpaea,bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea_bracteata,1,NO,Amphicarpaea bracteata,NA,non-woody,climber,broadleaved,1459.35,30.41156639,26.5785543,0.8065825618345108,30.792,0.24834902016375962,0.2611516677311665,0.22912874791878315,0.24102686802977089
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum_androsaemifolium,1,NO,Apocynum androsaemifolium,Apocynum androsaemifolium,non-woody,herbaceous non-graminoid,broadleaved,7156.82,17.2556779,51.59986203,0.735820838,0.2289,0.338544733606,0.334554127,0.271176363,0.271176363
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum_cannabinum,1,NO,Apocynum cannabinum,Apocynum cannabinum,non-woody,herbaceous non-graminoid,broadleaved,2608.7290065497077,17.24,97.94319295,0.95,0.9519,0.2912528191077598,0.29198834801648293,0.2500791532553426,0.2604954880482485
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia_ludoviciana,1,NO,Artemisia ludoviciana,Artemisia ludoviciana,non-woody,herbaceous non-graminoid/shrub,broadleaved,262.21,18.90475139,61.36297928,0.48641546,0.1241,0.40267131741300066,0.311672567,0.259186425,0.259186425
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias_syriaca,1,NO,Asclepias syriaca,Asclepias syriaca,non-woody,herbaceous non-graminoid,broadleaved,6376.17,19.52016511,62.98234491,0.916433603,5.5249,0.23716833248975985,0.195250356,0.198181187,0.198181187
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias_verticillata,1,NO,Asclepias verticillata,Asclepias verticillata,non-woody,herbaceous non-graminoid,broadleaved,47.17,16.3,50.19566442,0.4808351,2.1443,0.23365137134575995,0.214193857,0.208107581,0.208107581
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Asparagus,Asparagus,officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus_officinalis,1,NO,Asparagus officinalis,Asparagus officinalis,non-woody,herbaceous non-graminoid,broadleaved,13.24,20.964391087380275,96.69904704,0.783071712,20.5923,0.30194251300051006,0.274954542,0.246849633,0.246849633
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,inermis,Bromus inermis,Bromus inermis,Bromus_inermis,1,NO,Bromus inermis,Bromus inermis,non-woody,herbaceous graminoid,broadleaved,1111.67,20.28454624,53.63954545,0.876594278,2.8865,0.33485533586234995,0.339545667,0.304206553,0.304206553
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,tectorum,Bromus tectorum,Bromus tectorum,Bromus_tectorum,1,NO,Bromus tectorum,Bromus tectorum,non-woody,herbaceous graminoid,broadleaved,288.69,21.77303837,38.99342349,0.366621768,3.1465,0.307185,0.33015338415482937,0.291393704878803,0.307185
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Calamagrostis,Calamagrostis,canadensis,Calamagrostis canadensis,Calamagrostis canadensis,Calamagrostis_canadensis,1,NO,Calamagrostis canadensis,Calamagrostis canadensis,non-woody,herbaceous graminoid,broadleaved,1088.96,12.88524932,61.510173915301486,0.863133825,0.0997,0.35104437466415,0.36538504346763073,0.3179617704292018,0.3296637588437479
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Caltha,Caltha,palustris,Caltha palustris,Caltha palustris,Caltha_palustris,1,NO,Caltha palustris,Caltha palustris,non-woody,herbaceous non-graminoid,broadleaved,6216.07,34.58116402,36.2434535,0.248220033,1.0116,0.20791720907702224,0.128301373,0.16309992,0.16309992
