kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,sciname_IN_GROOT,Mean_Root_diameter,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal colonization,Root_N_concentration,Root_P_concentration,Root_tissue_density,Rooting_depth,Specific_root_length,Specific_root_respiration,Root_litter_mass_loss_rate,Root_mass_fraction,Specific_root_area,Root_dry_matter_content,Root_mass_density,Lateral_spread,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Root_N_P_ratio,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_production,Root_stele_diameter,Root_stele_fraction,Net_nitrogen_uptake_rate,Root_vessel_diameter
Plantae,Tracheophyta,G,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgoaceae,Ginkgo,Ginkgo,biloba,Ginkgo biloba,Ginkgo biloba,Ginkgo_biloba,1,NO,Ginkgo biloba,Ginkgo biloba,Ginkgo biloba,0.9492,2.4964429840239966,3.1185,418.41977368280004,38.60021455448003,7.037519132251994,4.636772108944002,0.995115370168001,254.684,123.05478173464016,143.94616487556004,1.8047550830799988,0.38187531855599877,35.092176772388,23.9,1.570469968196,0.1898,2.5,10.6842,23.083031208811985,3.139843660984002,0.129115357,1428.8979452080011,0.2301972850920002,0.18116998639520004,18.50780000000001,4.629282092780003,0.8665126034199984,6.173292970372005,483.8568444439993,0.45331649929999995,317.0273180987999,128.4161454326401,0.08797929333600005,50.8712709205199,22.15389199999997
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Achillea,Achillea,millefolium,Achillea millefolium,Achillea millefolium,Achillea_millefolium,1,NO,Achillea aspleniifolia,Achillea millefolium,Achillea lanulosa,0.3701886490079998,2.6924865087919936,4.83499,403.3197750191999,45.88961507652003,8.414019925084,4.754263574552005,2.0500099582639986,144.104,182.55851144527995,116.71145313839997,2.0089125321559966,0.2982700058559995,47.682316596156,8.153846154,1.6534540380480003,0.17983307874799961,1.07,66.75357360529202,11.114404510436,2.7774204480079994,0.42973225615599936,1543.5532221048006,0.19666249224800011,0.10838008107879998,12.342799999999999,4.087997135880005,1.0026695413159983,4.969178729895997,503.40137777679934,0.3566411030320006,317.30033493839983,140.41992618912025,0.09889865801600002,60.87183253343992,21.17277199999994
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpaea,bracteata,Amphicarpaea bracteata,Amphicarpaea bracteata,Amphicarpaea_bracteata,1,NO,Amphicarpaea bracteata,NA,NA,0.33746094352000056,2.437687102127998,4.971740000000007,416.58337924560027,29.217195555360004,6.631544933599999,4.458875325576007,0.6406391325320017,373.12,127.05452809296014,131.11036401504015,1.7920336733359963,0.3744304022719989,42.38279200926801,17.163004883487996,2.0068261540439987,0.21075389929199972,1.402310237971998,70.79427996176001,23.80493944018799,3.943249778627998,0.30294403504000034,716.5552205264003,0.18810143932800014,0.14622012580799992,17.939400000000003,4.552876164600005,0.9459183880439983,5.740945552012,479.778755555199,0.44722581625600033,357.53391355439993,87.00084649691996,0.09398599542399998,50.65081632051989,22.031251999999967
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum_androsaemifolium,1,NO,Apocynum androsaemifolium,Apocynum androsaemifolium,Apocynum androsaemifolium,0.39244282419199955,2.718263190855997,4.920760000000001,447.4,54.15124727792,6.336263580639996,4.451441238908008,1.4749810060039987,414.052,134.66053225488017,163.31954101043988,1.7313296983199982,0.3189551127679996,45.4925196636,7.94,1.4530883729400004,0.2785248437560003,1.2192,50.66666667,10.437515918908003,1.7920067298160003,0.40920998249999907,691.3322699920009,0.21970576751199997,0.2485636198345997,12.343800000000002,4.395763723088004,0.941372392175998,5.682718953011994,494.9029333327988,0.420740772024001,312.51920159919956,110.57378587780015,0.1270765481079999,55.418324340799906,21.638803999999958
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Apocynum,Apocynum,cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum_cannabinum,1,NO,Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,0.304733333,2.687543391823998,4.843434,438.58717448559986,41.75772882540003,6.6938393851719935,4.296251554212008,0.7410568816640015,376.916,119.32927653224016,163.57570901140002,1.6733146118519988,0.3173058512599997,47.604202642316,12.823826962380005,1.3647674772800005,0.326740067,1.5347018977239992,54.03916377,15.961944732776004,2.3175179416399985,0.26399554,728.4221364856008,0.22478692494800015,0.2509532855113997,13.665600000000001,4.915205765900006,0.7942694584119981,5.899368816315999,484.6080666663989,0.41048464898800047,276.87923072639984,96.88541076888006,0.11477493861599994,51.603251661839906,21.81049999999996
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia_ludoviciana,1,NO,Artemisia ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,0.31821746,2.170025004303997,4.855098000000006,411.5034333275999,31.983581668120024,7.260740088224,4.8165058151360025,1.7710594767639998,222.288,131.7990187286401,110.4595743478401,1.9388551258759974,0.36070956669999904,44.437620720836016,18.433242145692,1.759418822943999,0.222016659,0.734713603084,76.92231348,27.11866613394798,5.444477915704009,0.24225099,2040.1540671832,0.18103941482399993,0.13112648765939988,17.299400000000002,4.392424067024003,0.9453271651559977,5.594238848599997,503.01715555479944,0.4596509043360004,392.3102300535999,126.02615205432002,0.07039802714800007,51.84009275439992,22.202947999999974
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,syriaca,Asclepias syriaca,Asclepias syriaca,Asclepias_syriaca,1,NO,Asclepias syriaca,Asclepias syriaca,Asclepias syriaca,0.43,2.895522252123995,4.8649799999999965,406.8806390759997,25.3,8.270680487176001,4.584841486496005,2.2199410925479977,135,196.7102578036,124.98298789027999,1.9354031522519977,0.3037943404919994,39.689739494436004,18.0183,1.6097024360160002,0.14,1.3774085008320007,66.5,17.92999162,1.2913074697239981,0.44416727818799984,1301.9857890560004,0.19710230118400016,0.2758275336529998,6.8,4.589789363888005,1.0123478817919982,5.1251260638080005,498.57979999959935,0.3860652689320005,292.0667058115998,183.51014272408025,0.12427710848799996,58.82903945355994,21.34446799999995
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Apocynaceae,Apocynaceae,Asclepias,Asclepias,verticillata,Asclepias verticillata,Asclepias verticillata,Asclepias_verticillata,1,NO,Asclepias verticillata,Asclepias verticillata,Asclepias verticillata,0.4293,2.9306617599919957,4.901264000000001,437.6678329207998,47.1,7.421393297411992,4.47332703144801,0.896326488996001,406.496,160.42077757272003,171.82378888999986,1.7633054170399975,0.3216144594119996,46.208301785196014,9.60471025,1.4901733543439994,0.266379493,1.2112,37.10654453,9.162898533,1.5368762811079995,0.460715149,672.0829024588008,0.21187590810399992,0.18410933305159977,12.171799999999998,4.744374343716005,0.9506358006399981,5.58502134198,477.5141999995987,0.37108161166000064,245.24393493359997,127.28343965440025,0.11562872793199995,55.201628848399906,21.687859999999954
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Asparagus,Asparagus,officinalis,Asparagus officinalis,Asparagus officinalis,Asparagus_officinalis,1,NO,Asparagus officinalis,Asparagus officinalis,Asparagus officinalis,0.3495321305679999,2.5357482092879957,4.935900000000002,422.6429718836002,46.79420218091997,6.840131515755995,4.358513608340008,2.1740777746719977,484.324,128.52228277512017,149.29982930043994,1.888191092383997,0.31990643648799955,49.33333333,11.415851590096,1.4401088277680003,0.23584601153600004,1.0053398773520008,69.69571248971994,12.92034160306799,2.017720289104001,0.39938418955999944,820.0539620712008,0.22041710268800008,0.21087425793239994,13,3.906375389228005,1.119131582008,5.720363701815995,531.8228888879995,0.46270466385600073,304.2819035363998,103.68682223400018,0.12473437171999995,54.790196251519895,21.73691599999996
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bromus,Bromus,inermis,Bromus inermis,Bromus inermis,Bromus_inermis,1,NO,Bromus inermis,Bromus inermis,Bromus inermis,0.281416667,2.304469877503997,4.913436000000002,378.2,19.39487179,8.070013913615998,4.358069605620008,4.110754779751995,458.82,152.5167692488801,152.8,1.9610308483439973,0.3410925264719992,63.22222222,17.20145333,1.6381308368520007,0.268601793,1.033146104776,108.7724975,12.6351228,2.4401352525200006,0.559941695,1244.772143,0.17,0.1493071889904,8,4.113637742976007,1.1067507609479998,5.520246025979998,475.5,0.4601675228480001,410.9951135547998,93.36055903327996,0.10512156950799992,51.144610229199905,21.85955599999997
