"Species","Ti","Acc","gene"
"Ginkgo biloba","Ginkgo biloba isolate CAA233 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MZ779177","rbcL"
"Acer negundo","Acer negundo voucher MONT:87351 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OQ832178","rbcL"
"Acer rubrum","Acer rubrum voucher MCF-389 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","ON341423","rbcL"
"Achillea millefolium","Achillea millefolium WK23-ABG00008 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OR738029","rbcL"
"Agastache foeniculum","Agastache foeniculum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525132","rbcL"
"A.foeniculum chloroplast","A.foeniculum chloroplast rbcL gene for rubisco (large subunit) (partial)","Z37381","rbcL"
"Agrostis scabra","Agrostis scabra voucher Abbott 20996 (FLAS) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KX397686","rbcL"
"Allium cernuum","Allium cernuum voucher ERM680 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KX678878","rbcL"
"Allium stellatum","Allium stellatum voucher CCDB-18296-H04 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG228158","rbcL"
"Alnus incana","Alnus incana voucher CCDB-18324-F12 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG247701","rbcL"
"A. incana","A. incana rbcL gene for ribulose-biphosphate carboxylase (EC 4.1.1.39)","X56618","rbcL"
"Amaranthus retroflexus","Amaranthus retroflexus voucher MQ164 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT930971","rbcL"
"Ambrosia artemisiifolia","Ambrosia artemisiifolia voucher GPAGA 58 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OL434734","rbcL"
"Ambrosia psilostachya","Ambrosia psilostachya voucher 80019aHIM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223237","rbcL"
"Amelanchier alnifolia","Amelanchier alnifolia voucher CCDB-18335-A7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG247818","rbcL"
"Amelanchier arborea","Amelanchier arborea voucher S. L. Zhou BOP022147 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG703618","rbcL"
"Amelanchier interior","Amelanchier interior voucher CCDB-23309-B01 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248606","rbcL"
"Amelanchier laevis","Amelanchier laevis voucher NTW810 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248519","rbcL"
"Amelanchier sanguinea","Amelanchier sanguinea voucher MT00186360 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248310","rbcL"
"Amelanchier spicata","Amelanchier spicata voucher CCDB-23957-B07 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249133","rbcL"
"Amorpha canescens","Amorpha canescens isolate UIC Ac1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF153989","rbcL"
"Amphicarpaea bracteata","Amphicarpaea bracteata voucher Q728 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MH658652","rbcL"
"Amphicarpaea bracteata","Amphicarpaea bracteata voucher Q728 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MH658652","rbcL"
"Andropogon gerardi","Andropogon gerardi ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525185","rbcL"
"Andropogon gerardii","Andropogon gerardii chloroplast partial rbcL gene for ribulose bisphosphate carboxylase large chain","AJ784818","rbcL"
"Anemone cylindrica","Anemone cylindrica ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525191","rbcL"
"Anemone patens","Anemone patens KG23-297 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OR508835","rbcL"
"Anemone quinquefolia","Anemone quinquefolia voucher CCDB-18334-A9 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249876","rbcL"
"Anemone virginiana","Anemone virginiana voucher SCBI-SIGEO_13_0225 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP644022","rbcL"
"Antennaria neglecta","Antennaria neglecta voucher CCDB-18321-F12 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223779","rbcL"
"Antennaria parlinii","Antennaria parlinii voucher CCDB-18322-B1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG221178","rbcL"
"Antennaria plantaginifolia","Antennaria plantaginifolia voucher SCBI_13_0468 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643840","rbcL"
"Apocynum androsaemifolium","Apocynum androsaemifolium voucher SNP_13_0426 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643950","rbcL"
"Apocynum cannabinum","Apocynum cannabinum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525210","rbcL"
"A.cannabinum chloroplast","A.cannabinum chloroplast rbcL gene","X91761","rbcL"
"Aquilegia canadensis","Aquilegia canadensis ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525212","rbcL"
"Boechera divaricarpa","Boechera divaricarpa voucher CCDB-18304-D06 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248277","rbcL"
"Arabis hirsuta","Arabis hirsuta voucher Ge131061 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MH657628","rbcL"
"Aralia nudicaulis","Aralia nudicaulis voucher MISU26-37 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG224615","rbcL"
"Aristida basiramea","Aristida basiramea voucher CCDB-18344-D3 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG227806","rbcL"
"Aristida tuberculosa","Aristida tuberculosa ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525232","rbcL"
"Aronia melanocarpa","Aronia melanocarpa isolate A-804 ribulose-1,5-biphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MN524887","rbcL"
