"Species","Ti","Acc","gene"
"Amphicarpaea bracteata","Amphicarpaea bracteata isolate 10 membrane-bound ATP synthase subunit B (atpB) gene, partial cds; chloroplast","EU717499","atpB"
"Equisetum arvense","Equisetum arvense voucher W.D. Speer 284 ATP synthase beta subunit (atpB) and ATP synthase epsilon subunit (atpE) genes, partial cds; chloroplast","KC893876","atpB"
"Equisetum laevigatum","Equisetum laevigatum chloroplast partial atpB gene for ATP synthase beta chain","AM422395","atpB"
"Euphorbia maculata","Euphorbia maculata AtpB (atpB) gene, partial cds; chloroplast","JX663801","atpB"
"Galium aparine","Galium aparine voucher Steele 1309 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176272","atpB"
"Physalis heterophylla","Physalis heterophylla voucher Aust 182 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176258","atpB"
"Plantago patagonica","Plantago patagonica voucher Steele 1311 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid","KT176267","atpB"
"Taraxacum officinale","Taraxacum officinale ATP synthase beta subunit (atpB) gene, partial cds; chloroplast","MT188839","atpB"
"Tragopogon dubius","Tragopogon dubius atpB gene","AJ236197","atpB"
"Vitis riparia","Vitis riparia genomic DNA containing partial atpB gene, atpB-rbcL IGS and partial rbcL gene, specimen voucher BONN: T. Borsch 3458, isolate N192 2","HE651120","atpB"
