"Species","Ti","Acc","gene"
"Ginkgo biloba","Ginkgo biloba NADH dehydrogenase F (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds","U31082","ndhF"
"Acer negundo","Acer negundo NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast gene for chloroplast product","AF130227","ndhF"
"Achillea millefolium","Achillea millefolium voucher ID:169205 from USA NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","MK800618","ndhF"
"Elymus repens","Elymus repens NADH dehydrogenase subunit F (ndhF), chloroplast gene encoding chloroplast protein, partial cds","U71027","ndhF"
"Agrostis scabra","Agrostis scabra voucher YDK2009763 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","KM538726","ndhF"
"Amaranthus retroflexus","Amaranthus retroflexus NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY959886","ndhF"
"Amelanchier arborea","Amelanchier arborea voucher S. L. Zhou BOP022147 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","MG704079","ndhF"
"Andropogon gerardii","Andropogon gerardii NADH dehydrogenase (ndhF) gene, chloroplast gene encoding chloroplast protein, partial cds","AF117391","ndhF"
"Apocynum cannabinum","Apocynum cannabinum NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","HQ384846","ndhF"
"Turritis glabra","Turritis glabra chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB034","LC090146","ndhF"
"Arabis hirsuta","Arabis hirsuta chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB003","LC090115","ndhF"
"Aronia melanocarpa","Aronia melanocarpa voucher S. L. Zhou BOP022150 NADH-plastoquinone oxidoreductase subunit 5 (ndhF) gene, partial cds; chloroplast","MG704080","ndhF"
"Asclepias verticillata","Asclepias verticillata voucher Aust 170 NADH dehydrogenase subunit 5 (ndhF) gene, complete cds; plastid","KT176825","ndhF"
"Asparagus officinalis","Asparagus officinalis NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast","AY394734","ndhF"
"Symphyotrichum novae-angliae","Symphyotrichum novae-angliae isolate 1208 NADH dehydrogenase subunit F-like (ndhF) gene, partial sequence; plastid","GU817797","ndhF"
"Barbarea vulgaris","Barbarea vulgaris subsp. vulgaris isolate NL_955_B49 NADH dehydrogenase F (ndhF) gene, partial cds; plastid","MG886737","ndhF"
"Berteroa incana","Berteroa incana chloroplast ndhF gene for NADH dehydrogenase subunit F, partial cds, isolate: YB008","LC090120","ndhF"
