"Species","Ti","Acc","gene"
"Acer negundo","Acer negundo voucher NB201910 tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","MT273720","trnL"
"Acer rubrum","Acer rubrum tRNA-Leu (trnL) gene, partial sequence; trnL-F intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","KF977443","trnL"
"Achillea millefolium","Achillea millefolium voucher ID:169306 tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","MK800982","trnL"
"Agastache foeniculum","Agastache foeniculum tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","AY506626","trnL"
"Elymus repens","Elymus repens voucher BOP022814 tRNA-Leu (trnL) gene and trnL-F intergenic spacer, complete sequence; chloroplast","KP210964","trnL"
"Pascopyrum smithii","Pascopyrum smithii voucher USAS:Hiiesalu 4 tRNA-Leu (trnL) gene, partial sequence; chloroplast","HM590233","trnL"
"Poa nemoralis","Poa nemoralis voucher CAN:Gillespie et al. 10411 trnT-trnL intergenic spacer, partial sequence; tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast","KY987110","trnL"
"Agrostis scabra","Agrostis scabra isolate CP4 tRNA-Leu (trnL) gene, partial sequence; chloroplast","KP208328","trnL"
"Allium cernuum","Allium cernuum tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence","JF262641","trnL"
"Allium stellatum","Allium stellatum tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence","JF262640","trnL"
"Alnus incana","Alnus incana voucher CS82185 tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","FJ012048","trnL"
"A.incana chloroplast","A.incana chloroplast trnL intron 1 sequence","X75696","trnL"
"Amaranthus retroflexus","Amaranthus retroflexus isolate AmreL03 tRNA-Leu (trnL) gene, partial sequence; chloroplast","KY313861","trnL"
"Ambrosia artemisiifolia","Ambrosia artemisiifolia isolate AmarP01 tRNA-Leu (trnL) gene, partial sequence; chloroplast","KY313896","trnL"
"Ambrosia psilostachya","Ambrosia psilostachya voucher KL62 tRNA-Leu (trnL) gene, partial sequence; chloroplast","MG709447","trnL"
"Amelanchier alnifolia","Amelanchier alnifolia voucher MHA:Kuklina 3.1-2014 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","KY799090","trnL"
"Amelanchier spicata","Amelanchier spicata voucher MHA:Kuklina 2.1-2014 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","KY799088","trnL"
"Amorpha canescens","Amorpha canescens isolate UIC Ac1 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","MF153990","trnL"
"Amphicarpaea bracteata","Amphicarpaea bracteata TUS:Kevin Campbell 311 chloroplast trnL, trnF genes, partial sequence","LC315111","trnL"
"Andropogon gerardii","Andropogon gerardii chloroplast tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer region, complete sequence; and tRNA-Phe (trnF) gene, partial sequence","AY116263","trnL"
"Anemone cylindrica","Anemone cylindrica isolate CP9 tRNA-Leu (trnL) gene, partial sequence; chloroplast","KP208333","trnL"
"Anemone patens","Anemone patens var. nuttalliana isolate SPu183 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; plastid","MK551067","trnL"
"Anemone quinquefolia","Anemone quinquefolia tRNA-Leu (trnL) gene, partial sequence; trnL-F intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","KF977444","trnL"
