"Species","Ti","Acc","gene"
"Amelanchier interior","Amelanchier interior voucher 19090B trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390936","matK"
"Amelanchier laevis","Amelanchier laevis voucher AP442 maturase K (matK) gene, partial cds; chloroplast","HQ593165","matK"
"Amphicarpaea bracteata","Amphicarpaea bracteata voucher Q728 maturase K (matK) gene, partial cds; chloroplast","MH660120","matK"
"Andropogon gerardii","Andropogon gerardii maturase (matK) gene, complete cds; chloroplast gene for chloroplast product","AF144577","matK"
"Artemisia campestris","Artemisia campestris voucher NMW7226 maturase K (matK) gene, partial cds; chloroplast","MK926386","matK"
"Bouteloua hirsuta","Bouteloua hirsuta voucher v0219576WIS maturase K (matK) gene, partial cds; chloroplast","MK519716","matK"
"Cirsium altissimum","Cirsium altissimum voucher v0033534WIS maturase K (matK) gene, partial cds; chloroplast","MK519916","matK"
"Crocanthemum bicknellii","Crocanthemum bicknellii voucher v0254644WIS maturase K (matK) gene, partial cds; chloroplast","MK519971","matK"
"Dalea candida","Dalea candida voucher v0071288WIS maturase K (matK) gene, partial cds; chloroplast","MK519988","matK"
"Dichanthelium linearifolium","Dichanthelium linearifolium chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher BRU:Christin 137","HF558503","matK"
"Equisetum arvense","Equisetum arvense tRNA-Lys (trnK) gene, intron; and MatK (matK) gene, complete cds; chloroplast","AY348551","matK"
"Erigeron philadelphicus","Erigeron philadelphicus voucher ERM880 maturase K (matK) gene, partial cds; chloroplast","KX677726","matK"
"Euphorbia maculata","Euphorbia maculata voucher Park13051 maturase K (matK) gene, partial cds; chloroplast","MT447296","matK"
"Galium aparine","Galium aparine voucher Ge130251 maturase K (matK) gene, partial cds; chloroplast","MT918326","matK"
"Galium boreale","Galium boreale voucher WYJ202008584 maturase K (matK) gene, partial cds; chloroplast","MW417724","matK"
"Galium concinnum","Galium concinnum voucher SCBI-SIGEO_13_0238 maturase K (matK) gene, partial cds; chloroplast","KP642983","matK"
"Galium obtusum","Galium obtusum voucher v0108109WIS maturase K (matK) gene, partial cds; chloroplast","MK520124","matK"
"Hackelia virginiana","Hackelia virginiana voucher v0010559WIS maturase K (matK) gene, partial cds; chloroplast","MK520155","matK"
"Hesperostipa spartea","Hesperostipa spartea voucher 07-JMS-0992 maturase K (matK) gene, partial cds; chloroplast","MF597416","matK"
"Koeleria pyramidata","Koeleria pyramidata voucher C. F. Lundewall (S) trnK gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KU883568","matK"
"Melilotus albus","Melilotus albus clone 1037979_3 maturase K (matK) gene, partial cds; plastid","OQ433996","matK"
"Mirabilis albida","Mirabilis albida voucher William R. Carr 11075 (TEX) maturase K (matK) gene, partial cds; chloroplast","KY952417","matK"
"Parthenocissus vitacea","Parthenocissus vitacea voucher US:Wen 7234 maturase K (matK) gene, partial cds; chloroplast","KX951018","matK"
"Physalis heterophylla","Physalis heterophylla voucher AP132 maturase K (matK) gene, partial cds; chloroplast","HQ593385","matK"
"Plantago patagonica","Plantago patagonica voucher Steele 1311 maturase K (matK) gene, complete cds; plastid","KT176614","matK"
"Drymocallis arguta","Drymocallis arguta voucher JAG 0670 maturase K (matK) gene, partial cds; chloroplast","MG220989","matK"
"Anemone patens","Anemone patens voucher Valuyskikh_101g_Rus maturase K (matK) gene, partial cds; chloroplast","MK050078","matK"
"Kali turgidum","Kali turgidum voucher v0025923WIS maturase K (matK) gene, partial cds; chloroplast","MK520601","matK"
"Salsola kali","Salsola kali tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast","AY514843","matK"
"Taraxacum officinale","Taraxacum officinale voucher MONT:87312 maturase K (matK) gene, partial cds; chloroplast","OQ847560","matK"
"Tragopogon dubius","Tragopogon dubius voucher v0182444WIS maturase K (matK) gene, partial cds; chloroplast","MK520760","matK"
"Vitis riparia","Vitis riparia voucher 12604 maturase K (matK) gene, partial cds; chloroplast","MN702226","matK"
