"Species","Ti","Acc","gene"
"Ginkgo biloba","Ginkgo biloba voucher WC1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MN204946","rbcL"
"Acer negundo","Acer negundo isolate P024 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OM673001","rbcL"
"Acer rubrum","Acer rubrum voucher MCF-389 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","ON341423","rbcL"
"Achillea millefolium","Achillea millefolium voucher Ge130608 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT930345","rbcL"
"Agastache foeniculum","Agastache foeniculum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525132","rbcL"
"A.foeniculum chloroplast","A.foeniculum chloroplast rbcL gene for rubisco (large subunit) (partial)","Z37381","rbcL"
"Elymus repens","Elymus repens voucher 06-JMS-0600 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596757","rbcL"
"Pascopyrum smithii","Pascopyrum smithii voucher 06-PMP-19723 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596902","rbcL"
"Poa nemoralis","Poa nemoralis voucher Huangxw1076 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MN192779","rbcL"
"Agrostis scabra","Agrostis scabra voucher Abbott 20996 (FLAS) ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KX397686","rbcL"
"Allium cernuum","Allium cernuum voucher ERM680 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KX678878","rbcL"
"Allium stellatum","Allium stellatum voucher CCDB-18296-H04 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG228158","rbcL"
"Alnus incana","Alnus incana voucher CCDB-18324-F12 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG247701","rbcL"
"A. incana","A. incana rbcL gene for ribulose-biphosphate carboxylase (EC 4.1.1.39)","X56618","rbcL"
"Amaranthus retroflexus","Amaranthus retroflexus voucher TLF-097 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT930970","rbcL"
"Ambrosia artemisiifolia","Ambrosia artemisiifolia voucher FLAS:Majure 4715 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KY626913","rbcL"
"Ambrosia psilostachya","Ambrosia psilostachya voucher 80019aHIM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223237","rbcL"
"Amelanchier alnifolia","Amelanchier alnifolia voucher CCDB-18335-A7 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG247818","rbcL"
"Amelanchier arborea","Amelanchier arborea voucher S. L. Zhou BOP022147 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG703618","rbcL"
"Amelanchier spicata","Amelanchier spicata voucher CCDB-23957-B07 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249133","rbcL"
