"Species","Ti","Acc","gene"
"Ginkgo biloba","Ginkgo biloba isolate JP9 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","EF468639","trnK"
"Acer rubrum","Acer rubrum isolate PA390 tRNA-Lys (trnK) gene, intron; chloroplast","AY853840","trnK"
"Agastache foeniculum","Agastache foeniculum trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","AY840146","trnK"
"Agrostis scabra","Agrostis scabra clone A scabra OSU40 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","DQ146807","trnK"
"Amaranthus retroflexus","Amaranthus retroflexus voucher USDA-GRIN PI603852 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","MG685166","trnK"
"Amelanchier alnifolia","Amelanchier alnifolia voucher 1321-81B trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390932","trnK"
"Amelanchier arborea","Amelanchier arborea voucher 11312D trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390935","trnK"
"Amelanchier laevis","Amelanchier laevis voucher 22578A trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390945","trnK"
"Amelanchier spicata","Amelanchier spicata voucher 18099B trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390939","trnK"
"Amphicarpaea bracteata","Amphicarpaea bracteata trnK gene, partial sequence; and maturase (matK) gene, complete cds; plastid","AY582971","trnK"
"Anemone quinquefolia","Anemone quinquefolia tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","GU257980","trnK"
"Apocynum androsaemifolium","Apocynum androsaemifolium trnK gene, intron; and maturase K-like (matK) gene, complete sequence; chloroplast","EF456263","trnK"
"Apocynum cannabinum","Apocynum cannabinum tRNA-Lys (trnK) gene, intron; chloroplast","DQ660685","trnK"
"Aquilegia canadensis","Aquilegia canadensis isolate 1 tRNA-Lys (trnK) gene, partial sequence; trnK-rps16 intergenic spacer, complete sequence; and ribosomal protein S16 gene, partial cds; chloroplast","KC290163","trnK"
"Aronia melanocarpa","Aronia melanocarpa voucher 368-84 trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390931","trnK"
"Asclepias syriaca","Asclepias syriaca tRNA-Lys (trnK) gene, intron; chloroplast","DQ660686","trnK"
"Astragalus canadensis","Astragalus canadensis var. brevidens voucher M.F. Wojciechowski 302 tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast","KX955085","trnK"
"Bromus inermis","Bromus inermis chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher BRU:Christin 134","HF558526","trnK"
"Bromus tectorum","Bromus tectorum chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher BRU:Christin 133","HF558493","trnK"
"Buchloe dactyloides","Buchloe dactyloides plastid matK gene for maturase K and partial trnK intron, specimen voucher BRU: S.H. Taylor 23","FR821320","trnK"
"Calamagrostis stricta","Calamagrostis stricta subsp. inexpansa voucher Shetler 4543B & Shetler (US) ribosomal protein S16 (rps16) gene, partial cds; rps16-trnK intergenic spacer, complete sequence; and tRNA-Lys (trnK) gene, partial sequence; chloroplast","OL540198","trnK"
"Campanula aparinoides","Campanula aparinoides chloroplast matK gene for maturase K and partial trnK gene intron, isolate CAM305","LT706755","trnK"
"Campanula rotundifolia","Campanula rotundifolia chloroplast matK gene for maturase K and partial trnK gene intron, isolate CAM247","LT706721","trnK"
"Carex canescens","Carex canescens isolate GNL_3 tRNA-Lys (trnK) gene, intron; plastid","KY189230","trnK"
"Carex comosa","Carex comosa chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher Gillett&Baum s.n. (ALA)","HG915847","trnK"
"Carex lasiocarpa","Carex lasiocarpa chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher Hoffmann s.n. (HAL)","HG915858","trnK"
