"Species","Ti","Acc","gene"
"Amelanchier interior","Amelanchier interior voucher CCDB-23309-B01 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248606","rbcL"
"Amelanchier laevis","Amelanchier laevis voucher NTW810 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248519","rbcL"
"Amphicarpaea bracteata","Amphicarpaea bracteata voucher Q728 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MH658652","rbcL"
"Andropogon gerardi","Andropogon gerardi ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525185","rbcL"
"Andropogon gerardii","Andropogon gerardii chloroplast partial rbcL gene for ribulose bisphosphate carboxylase large chain","AJ784818","rbcL"
"Artemisia campestris","Artemisia campestris voucher NMW7226 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK925212","rbcL"
"Bouteloua hirsuta","Bouteloua hirsuta ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525318","rbcL"
"Cirsium altissimum","Cirsium altissimum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525564","rbcL"
"Crocanthemum bicknellii","Crocanthemum bicknellii voucher CCDB-23111-C07 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248023","rbcL"
"Dalea candida","Dalea candida isolate 18-35 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK965412","rbcL"
"Dichanthelium linearifolium","Dichanthelium linearifolium voucher TJD-168 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KJ841274","rbcL"
"Equisetum arvense","Equisetum arvense subsp. boreale isolate 41074 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid","MH750160","rbcL"
"Equisetum laevigatum","Equisetum laevigatum voucher MISU34-29 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG215438","rbcL"
"Erigeron philadelphicus","Erigeron philadelphicus ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK525800","rbcL"
"Euphorbia maculata","Euphorbia maculata voucher FLAS:Whitten 4093 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KY627537","rbcL"
"Galium aparine","Galium aparine voucher Ge130251 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT931544","rbcL"
"G.aparine chloroplast","G.aparine chloroplast rbcL gene","X81091","rbcL"
"Galium boreale","Galium boreale ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OR508843","rbcL"
"Galium concinnum","Galium concinnum voucher SCBI-SIGEO_13_0238 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643878","rbcL"
"Galium obtusum","Galium obtusum voucher 28590HIM ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223213","rbcL"
"Hackelia virginiana","Hackelia virginiana voucher SCBI-SIGEO_13_0311 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KP643929","rbcL"
"Hesperostipa spartea","Hesperostipa spartea voucher 07-JMS-0992 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MF596834","rbcL"
"Koeleria pyramidata","Koeleria pyramidata chloroplast partial rbcL gene for ribulose bisphosphate carboxylase large chain","AJ784825","rbcL"
"Koeleria cristata","Koeleria cristata chloroplast partial rbcL gene for ribulose bisphosphate carboxylase large chain","AJ746262","rbcL"
"Melilotus albus","Melilotus albus voucher MQ043 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MT931452","rbcL"
"Mirabilis albida","Mirabilis albida voucher CCDB-18302-C06 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249258","rbcL"
"Parthenocissus vitacea","Parthenocissus vitacea voucher US:Wen 7234 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","KX951096","rbcL"
"Physalis heterophylla","Physalis heterophylla voucher WC-91WP ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG222528","rbcL"
"Plantago patagonica","Plantago patagonica voucher plantago_pat ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG223428","rbcL"
"Drymocallis arguta","Drymocallis arguta voucher CCDB-23957-C11 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG249557","rbcL"
"Anemone patens","Anemone patens KG23-297 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","OR508835","rbcL"
"Kali turgidum","Kali turgidum isolate UQU ALP191 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MH598919","rbcL"
"Salsola kali","Salsola kali ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","AY270129","rbcL"
"Taraxacum officinale","Taraxacum officinale voucher FM35.leaf ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; plastid","OR381723","rbcL"
"Tragopogon dubius","Tragopogon dubius ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MK526816","rbcL"
"Vitis riparia","Vitis riparia voucher JAG 0504WP ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast","MG248459","rbcL"
