"Species","Ti","Acc","gene"
"Amelanchier interior","Amelanchier interior voucher 19090B trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390936","trnK"
"Amelanchier laevis","Amelanchier laevis voucher 22578A trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390945","trnK"
"Amphicarpaea bracteata","Amphicarpaea bracteata trnK gene, partial sequence; and maturase (matK) gene, complete cds; plastid","AY582971","trnK"
"Dichanthelium linearifolium","Dichanthelium linearifolium chloroplast matK gene for maturase K and partial trnK gene intron, specimen voucher BRU:Christin 137","HF558503","trnK"
"Equisetum arvense","Equisetum arvense tRNA-Lys (trnK) gene, intron; and MatK (matK) gene, complete cds; chloroplast","AY348551","trnK"
"Erigeron philadelphicus","Erigeron philadelphicus isolate AH06 tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, partial cds; chloroplast","KP175072","trnK"
"Euphorbia maculata","Euphorbia maculata voucher Kim 2001-0001 tRNA-Lys (trnK) gene, partial sequence; and maturase K-like (matK) gene, complete sequence; plastid","EU659800","trnK"
"Galium aparine","Galium aparine trnK gene, partial sequence; and maturase (matK) gene, partial cds; chloroplast","HQ384560","trnK"
"Hesperostipa spartea","Hesperostipa spartea voucher Holmes 214 US tRNA-Lys (trnK) gene, intron; plastid","EU489401","trnK"
"Koeleria pyramidata","Koeleria pyramidata voucher MA:Quintanar1439 ribosomal protein S16 (rps16) gene, partial cds; rps16-trnK intergenic spacer, complete sequence; and tRNA-Lys (trnK) gene, partial sequence; chloroplast","MK791424","trnK"
"Melilotus albus","Melilotus albus isolate S43M trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","MW241847","trnK"
"Salsola kali","Salsola kali tRNA-Lys (trnK) gene, intron; and maturase K (matK) gene, complete cds; chloroplast","AY514843","trnK"
"Vitis riparia","Vitis riparia tRNA-Lys (trnK) gene, intron; chloroplast","HQ385438","trnK"
