"Species","Ti","Acc","gene"
"Ginkgo biloba","Ginkgo biloba isolate LegMedMO_91 maturase K (matK) gene, partial cds; chloroplast","HQ619815","matK"
"Acer negundo","Acer negundo voucher AN2021DD01 maturase K (matK) gene, partial cds; chloroplast","OP222055","matK"
"Acer rubrum","Acer rubrum isolate OSBAR 000230 maturase K (matK) gene, partial cds; chloroplast","MH551750","matK"
"Achillea millefolium","Achillea millefolium voucher Q-115 maturase K (matK) gene, partial cds; chloroplast","MT917283","matK"
"Agastache foeniculum","Agastache foeniculum trnK gene, intron; and maturase K (matK) gene, complete cds; chloroplast","AY840146","matK"
"Elymus repens","Elymus repens voucher 06-JMS-0600 maturase K (matK) gene, partial cds; chloroplast","MF597346","matK"
"Pascopyrum smithii","Pascopyrum smithii voucher 06-PMP-19723 maturase K (matK) gene, partial cds; chloroplast","MF597472","matK"
"Poa nemoralis","Poa nemoralis voucher LiJ662 maturase K (matK) gene, partial cds; chloroplast","MN434002","matK"
"Agrostis scabra","Agrostis scabra voucher FLAS:Abbott 20996 maturase K (matK) gene, partial cds; chloroplast","KY607144","matK"
"Allium cernuum","Allium cernuum voucher ERM680 maturase K (matK) gene, partial cds; chloroplast","KX677445","matK"
"Allium stellatum","Allium stellatum voucher v0202350WIS maturase K (matK) gene, partial cds; chloroplast","MK509394","matK"
"Alnus incana","Alnus incana voucher ERM608 maturase K (matK) gene, partial cds; chloroplast","KX677393","matK"
"Amaranthus retroflexus","Amaranthus retroflexus voucher TLF-097 maturase K (matK) gene, partial cds; chloroplast","MT917853","matK"
"Ambrosia artemisiifolia","Ambrosia artemisiifolia voucher v0035662WIS maturase K (matK) gene, partial cds; chloroplast","MK509404","matK"
"Ambrosia psilostachya","Ambrosia psilostachya isolate APSI-A maturase K (matK) gene, partial cds; chloroplast","KY752153","matK"
"Amelanchier alnifolia","Amelanchier alnifolia voucher ERM630 maturase K (matK) gene, partial cds; chloroplast","KX677752","matK"
"Amelanchier arborea","Amelanchier arborea voucher 11312D trnK gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast","JQ390935","matK"
"Amelanchier spicata","Amelanchier spicata voucher TJD-211 maturase K (matK) gene, partial cds; chloroplast","KP210358","matK"
