"Species","Ti","Acc","gene"
"Amphicarpaea bracteata","Amphicarpaea bracteata TUS:Kevin Campbell 311 chloroplast trnL, trnF genes, partial sequence","LC315111","trnL"
"Andropogon gerardii","Andropogon gerardii chloroplast tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer region, complete sequence; and tRNA-Phe (trnF) gene, partial sequence","AY116263","trnL"
"Artemisia campestris","Artemisia campestris tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","KF736812","trnL"
"Bouteloua hirsuta","Bouteloua hirsuta voucher RSA:Columbus 2900 tRNA-Thr (trnT) gene, partial sequence; trnT-trnL intergenic spacer, tRNA-Leu (trnL) gene, and trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","JF791682","trnL"
"Cirsium altissimum","Cirsium altissimum voucher CS 16-103 tRNA-Leu (trnL) gene, complete sequence; and trnL-trnF intergenic spacer, partial sequence; chloroplast","MN314901","trnL"
"Equisetum arvense","Equisetum arvense voucher W. D. Speer 284 tRNA-Leu (trnL) gene, partial sequence; chloroplast","OQ971732","trnL"
"Equisetum laevigatum","Equisetum laevigatum isolate 40812 tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; plastid","MH750065","trnL"
"Erigeron philadelphicus","Erigeron philadelphicus isolate AH06 tRNA-Leu (trnL) gene, partial sequence; chloroplast","KP175172","trnL"
"Galium aparine","Galium aparine tRNA-Leu (trnL) gene, partial sequence; chloroplast","KX668043","trnL"
"Galium boreale","Galium boreale voucher GalBor-210708-LR3 tRNA-Leu (trnL) gene, intron; chloroplast","OR571801","trnL"
"Hackelia virginiana","Hackelia virginiana tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","KF288060","trnL"
"Hesperostipa spartea","Hesperostipa spartea voucher Holmes 214 US tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","EU489329","trnL"
"Koeleria pyramidata","Koeleria pyramidata voucher MA:Quintanar1439 ribosomal protein L32 (rpl32) gene, partial cds; rpl32-trnL intergenic spacer, complete sequence; and tRNA-Leu (trnL) gene, partial sequence; chloroplast","MK804976","trnL"
"Melilotus albus","Melilotus albus voucher MelAlb-210708-AD2 tRNA-Leu (trnL) gene, intron; chloroplast","OR571818","trnL"
"Melilotus alba","Melilotus alba tRNA-Leu (trnL) gene, intron; chloroplast","DQ311713","trnL"
"Mirabilis albida","Mirabilis albida voucher USAS:Hiiesalu 43 tRNA-Leu (trnL) gene, partial sequence; chloroplast","HM590319","trnL"
"Parthenocissus vitacea","Parthenocissus vitacea voucher Wen 10488 tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","HM585957","trnL"
"Penstemon cobaea","Penstemon cobaea trnT-trnL intergenic spacer and tRNA-Leu (trnL) gene, partial sequence; chloroplast","DQ531233","trnL"
"Physalis heterophylla","Physalis heterophylla voucher Olmstead S-64 (WTU) tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","EU581043","trnL"
"Plantago patagonica","Plantago patagonica tRNA-Leu (trnL) gene, partial sequence; and trnL-trnF intergenic spacer region; chloroplast genes for chloroplast products","AY101964","trnL"
"Drymocallis agrimonioides","Drymocallis agrimonioides tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; chloroplast","FJ422289","trnL"
"Anemone patens","Anemone patens var. nuttalliana isolate SPu183 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; plastid","MK551067","trnL"
"Salsola kali","Salsola kali tRNA-Leu (trnL) gene, partial sequence; chloroplast","DQ499392","trnL"
"Taraxacum officinale","Taraxacum officinale voucher TarOff-210708-AD1 tRNA-Leu (trnL) gene, partial sequence; chloroplast","OR571849","trnL"
"Tragopogon dubius","Tragopogon dubius isolate CP72 tRNA-Leu (trnL) gene, partial sequence; chloroplast","KP208396","trnL"
"Vitis riparia","Vitis riparia voucher 12604 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; chloroplast","MN702072","trnL"
