Species,Ti,Acc,gene
Ginkgo biloba,Ginkgo biloba chloroplast atpB gene,AJ235481,atpB
Achillea millefolium,"Achillea millefolium ATP synthase beta subunit (atpB) gene, complete cds; chloroplast",KT344987,atpB
Amphicarpaea bracteata,"Amphicarpaea bracteata isolate 10 membrane-bound ATP synthase subunit B (atpB) gene, partial cds; chloroplast",EU717499,atpB
Apocynum androsaemifolium,"Apocynum androsaemifolium ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product",AF209529,atpB
Apocynum cannabinum,"Apocynum cannabinum ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",HQ384762,atpB
Artemisia ludoviciana,"Artemisia ludoviciana ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",MT188768,atpB
Asclepias syriaca,"Asclepias syriaca ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",HQ384761,atpB
Asclepias verticillata,"Asclepias verticillata voucher Aust 170 ATP synthase CF1 beta subunit (atpB) gene, complete cds; plastid",KT176234,atpB
Asparagus officinalis,"Asparagus officinalis ATP synthase beta subunit (atpB) gene, partial cds; chloroplast gene for chloroplast product",AY147630,atpB
Bromus inermis,"Bromus inermis ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",DQ780967,atpB
Bromus tectorum,"Bromus tectorum voucher PI317421 clone 1 AtpB (atpB) gene, partial cds; atpB-rbcL intergenic spacer, complete sequence; and ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chloroplast",GQ373395,atpB
Calamagrostis canadensis,"Calamagrostis canadensis ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",DQ780970,atpB
Caltha palustris,"Caltha palustris var. membranacea voucher WW Chen2072 ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",KX526093,atpB
Campanula rotundifolia,"Campanula rotundifolia ATP synthase beta subunit (atpB) gene, partial cds; chloroplast",EU437669,atpB
